Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Notes/Comments
DELTA,"University of California, San Diego (UC San Diego)",ALUMNI,Non-profit,5/7/15,9/6/18,Building Efficiency,https://www.biolinq.me/,https://scholar.google.com/citations?hl=en&user=0DEykT4AAAAJ&view_op=list_works&sortby=pubdate,,Adaptive Textiles Technology,Persist,
DELTA,University of Maryland (UMD),ALUMNI,Non-profit,4/15/15,5/12/18,Building Efficiency,http://mobilecomfort.us/,http://www.ceee.umd.edu/roco,,Robotic Personal Conditioning Device,Persist,
DELTA,University of Maryland (UMD),ALUMNI,Non-profit,5/1/15,9/30/18,Building Efficiency,https://science.sciencemag.org/content/363/6427/619.abstract,,,Meta-Cooling Textile,Pivot,
DELTA,Stanford University,CANCELLED,Non-profit,4/30/15,9/30/17,Building Efficiency,https://science.sciencemag.org/content/353/6303/1019/tab-pdf,https://reader.elsevier.com/reader/sd/pii/S2542435119301552?token=1E7E8736B21E15CB51887552F6E198B517120A3B64E2E8C2D6552FC1B200CF14ABF08F612433406C174E21BB9A3B4615,https://patents.google.com/patent/US20190008217A1/en,Photonic Structure Textiles,Pivot,
FOCUS,Arizona State University (ASU),ALUMNI,Non-profit,5/30/14,8/29/17,Distributed Generation,https://ieeexplore.ieee.org/abstract/document/8366306,https://www.sunvapor.net/research--development.html,https://www.soitec.com/en,High-Temperature Topping Cells from LED Materials,Pivot,
FOCUS,Arizona State University (ASU),ALUMNI,Non-profit,6/1/14,8/31/17,Distributed Generation,https://holman.engineering.asu.edu/,https://aip.scitation.org/doi/pdf/10.1063/1.4984328?class=pdf,,Solar-Concentrating Photovoltaic Mirror,Perish,
FOCUS,Cogenra Solar,ALUMNI,For-profit,7/10/14,7/9/16,Distributed Generation,https://us.sunpower.com/,https://www.greentechmedia.com/articles/read/sunpower-integrates-cogenras-novel-solar-manufacturing-technique#gs.q9oaym,,Hybrid Solar Converter with Light-Filtering Mirror,Pivot,
FOCUS,Gas Technology Institute (GTI),ALUMNI,Non-profit,5/13/14,1/31/18,Distributed Generation,https://www.gti.energy/simultaneously-generating-electricity-and-storable-heat-with-a-hybrid-solar-energy-system/,https://news.ucmerced.edu/news/2019/uc-solar-projects-bringing-lower-costs-renewable-energy-industry-commerce-and-homes,,Double-Reflector Hybrid Solar Energy System,Perish,
FOCUS,General Electric (GE) Global Research,ALUMNI,For-profit,8/1/14,12/31/18,Distributed Generation,https://www.osti.gov/servlets/purl/1373211,http://gasturbinespower.asmedigitalcollection.asme.org/article.aspx?articleid=2714573,https://www.energy.gov/eere/solar/project-profile-general-electric-ge-global-research,Electrochemical Energy Storage with a Supercritical CO2 Cycle,Pivot,
FOCUS,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,6/17/14,9/16/17,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S2542435118300552#fig1,https://patents.google.com/patent/US20190100439A1/en?inventor=Gang+Chen&assignee=Massachusetts+Inst+Technology&after=priority:20140101,,Stacked Hybrid Solar Converter,Pivot,
FOCUS,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,5/15/14,7/31/15,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S0022024816300379,https://scholar.google.com.sg/citations?hl=en&user=Mn1-cq8AAAAJ&view_op=list_works&sortby=pubdate,https://www.osapublishing.org/prj/abstract.cfm?uri=prj-6-4-290,Low-Cost Hetero-Epitaxial Solar Cell for Hybrid Converter,Pivot,
FOCUS,Tulane University,ALUMNI,Non-profit,8/1/14,9/30/18,Distributed Generation,https://reader.elsevier.com/reader/sd/pii/S0306261917313041?token=B3F5049677F69AB49C760F0D24D06EAC8FDE00FEDD23E0C40EC700C9D20EF0C1DFA57CA13CCB04DB823F783566F9017E,http://escarra.tulane.edu/project/hybrid-solar-converter-with-integrated-thermal-storage-focus/,,Hybrid Solar Converter,Persist,
FOCUS,University of Arizona,ALUMNI,Non-profit,8/11/17,8/10/18,Distributed Generation,http://dwpenergysolutions.com/wordpress/information-center/news-blog/,https://www.osapublishing.org/view_article.cfm?gotourl=https%3A%2F%2Fwww%2Eosapublishing%2Eorg%2FDirectPDFAccess%2FD73CDDB9%2D976B%2D579D%2DEAE2AF6A3C40523D%5F376387%2FOSE%2D2017%2DRW3B%2E6%2Epdf%3Fda%3D1%26id%3D376387%26uri%3DOSE%2D2017%2DRW3B%2E6%26seq%3D0%26mobile%3Dno&org=Princeton%20University%20Library,,Partially Transmitting Mirror,Pivot,
FOCUS,University of Tulsa,ALUMNI,Non-profit,5/15/14,2/14/17,Distributed Generation,https://engineering.utulsa.edu/arpae-research-2017/,https://www.greentechmedia.com/articles/read/sunpower-integrates-cogenras-novel-solar-manufacturing-technique#gs.ydwxxl,,Liquid Filter with Plasmonic Nanoparticles,Pivot,
FOCUS,University of Tulsa,ALUMNI,Non-profit,11/7/16,12/31/18,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S0960148118300259,https://www.sciencedirect.com/science/article/pii/S0960148119309206,https://aip.scitation.org/doi/pdf/10.1063/1.5117680?class=pdf,Hybrid Solar Converter with Light-Filtering Mirror,Pivot,
FOCUS,Yale University,ALUMNI,Non-profit,7/15/14,12/31/17,Distributed Generation,https://aip.scitation.org/doi/pdf/10.1063/1.5001429?class=pdf,,,High-Temperature Dual-Junction Topping Cells,Pivot,
FOCUS,MicroLink Devices,CANCELLED,For-profit,6/11/14,8/4/16,Distributed Generation,http://www.mldevices.com/index.php/news,,,Dual-Junction Photovoltaic Topping Device for High-Temp Operation,Pivot,
FOCUS,Northrop Grumman Aerospace Systems,CANCELLED,For-profit,6/15/14,8/4/16,Distributed Generation,https://arpa-e.energy.gov/sites/default/files/FOCUS_Project_Presentations_combined-Tuesday.pdf,https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2467410,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7749658,Thermo-Acoustic Hybrid Solar Energy System,Pivot,
GENI,AutoGrid,ALUMNI,For-profit,1/11/12,3/31/14,Grid,https://www.auto-grid.com/platform/autogrid-flex/,https://arpa-e.energy.gov/?q=impact-sheet/autogrid-geni,,Integration of Renewables via Demand Management,Pivot,
GENI,Boston University (BU),ALUMNI,Non-profit,4/19/13,3/31/16,Grid,http://newgridinc.com/about-us/,,,Decision-Support Software for Grid Operators,Persist,
GENI,California Institute of Technology (Caltech),ALUMNI,Non-profit,3/1/12,6/1/15,Grid,http://netlab.caltech.edu/research/power-systems-dynamics,https://patents.google.com/patent/US20160036225A1/en,,Scalable Distributed Automation System,Persist,
GENI,Cornell University,ALUMNI,Non-profit,2/8/12,8/7/15,Grid,https://www.engineering.cornell.edu/faculty-directory/ken-birman,,,Cloud Computing for the Grid,Pivot,
GENI,General Atomics,ALUMNI,For-profit,1/9/12,7/31/13,Grid,http://www.ga.com/,,,Low-Insertion HVDC Circuit Breaker,Pivot,
GENI,General Electric (GE) Global Research,ALUMNI,For-profit,2/24/12,5/31/14,Grid,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934968,https://patents.google.com/patent/EP3007177A1/en,https://arpa-e.energy.gov/sites/default/files/15_GE_Sellick_GENI3.pdf,Cost-Effective Cable Insulation,Perish,
GENI,General Electric (GE) Global Research,ALUMNI,For-profit,1/23/12,1/22/15,Grid,https://arpa-e.energy.gov/sites/default/files/15_GE_Sellick_GENI3.pdf,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7140611,https://www.gegridsolutions.com/Power_Projects.htm,Connecting Renewables Directly to the Grid,Pivot,
GENI,Georgia Tech Research Corporation,ALUMNI,Non-profit,1/11/12,2/15/15,Grid,https://prosumergrid.com/about/,https://arpa-e.energy.gov/?q=slick-sheet-project/distribution-operator-simulation-studio,,"Autonomous, Decentralized Grid Architecture",Persist,
GENI,Michigan State University (MSU),ALUMNI,Non-profit,2/8/12,11/15/15,Grid,https://www.switchedsource.com/,https://innovationcenter.msu.edu/news/startup-spotlight-switched-source-transformerless-upfc,,Power Flow Controller for Renewables,Pivot,
GENI,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,2/24/12,6/30/17,Grid,https://arpa-e.energy.gov/sites/default/files/13_ORNL_Dimitrovski_GENI3.pdf,https://patents.google.com/patent/US20170324389A1/en,,Magnetic Amplifier for Power Flow Control,Pivot,
GENI,Sandia National Laboratories,ALUMNI,Non-profit,4/1/12,1/16/15,Grid,https://energy.sandia.gov/sandia-develops-stochastic-production-cost-model-simulator-for-electric-power-systems/,,,Probability-Based Software for Grid Optimization,Persist,
GENI,Smart Wire Grid,ALUMNI,For-profit,4/23/12,9/30/14,Grid,https://www.smartwires.com/,https://arpa-e.energy.gov/?q=impact-sheet/smart-wires-geni,,Distributed Power Flow Control,Pivot,
GENI,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,3/1/12,6/30/15,Grid,http://smartgridcenter.tamu.edu/sgctamu/index.php/projects/,https://arpa-e.energy.gov/sites/default/files/6_TEES_Kezunovic_GENI3.pdf,https://www.ferc.gov/CalendarFiles/20150623084846-W2-A%20-%202%20-%20HEDMAN%20-%20Hedman_FERC_20150624_Final.pdf,Automated Grid Disruption Response System,Pivot,
GENI,University of Washington (UW),ALUMNI,Non-profit,3/1/12,10/14/15,Grid,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7587806,,,Renewable Energy Positioning System,Pivot,
GENI,Varentec,ALUMNI,For-profit,1/3/12,5/31/16,Grid,http://varentec.com/,https://arpa-e.energy.gov/sites/default/files/Varentec_GENI_ExternalImpactSheet_FINAL.pdf,,Dynamic Power Flow Controller,Pivot,
