,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder2,coder1notes,coder2notes
28,Lawrence Berkeley National Laboratory (LBNL),"LBNL, in coordination with Cornell University, will develop a driver for magneto-inertial fusion based on ion beam technology that can be manufactured with low-cost, scalable methods. Ion beams are commonly used in research laboratories and manufacturing, but currently available technology cannot deliver the required beam intensities at low enough cost to drive an economical fusion reactor. LBNL will take advantage of microelectromechanical (MEMS) technology to develop a design consisting of thousands of mini ion ""beamlets"" densely packed on silicon wafers - up to thousands of beamlets per 4 to 12 inch wafer. Ions will be accelerated using radio-frequency driven accelerators, resulting in extremely high current densities and high-intensity ion beams that can be focused on plasma targets to achieve fusion. The use of MEMS technology enables low-cost batch fabrication, which could reduce the overall cost of a fusion reactor, in addition to enabling drivers that are modular and scalable. If successful, this project will result in an economical and flexible ion beam driver technology for magneto-inertial fusion reactors.
",2018-06-30,ALPHA,ALUMNI,?q=slick-sheet-project/mems-based-drivers-fusion,2015-08-01,California,MEMS Based Drivers For Fusion,Centralized Generation, ,2450000,0.0,Non-profit,Pivot,Persist,Part of OPEN 2018+ Nuclear cohort,OPEN 2018
29,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) is developing a hybrid solar converter that integrates a thermal absorber and solar cells into a layered stack, allowing some portions of sunlight to be converted directly to electricity and the rest to be stored as heat for conversion when needed most. MIT's design focuses concentrated sunlight onto metal fins coated with layers that reflect a portion of the sunlight while absorbing the rest. The absorbed light is converted to heat and stored in a thermal fluid for conversion to mechanical energy by a heat engine. The reflected light is directed to solar cells and converted directly into electricity. This way, each portion of the solar spectrum is directed to the conversion system where it can be most effectively used. The sunlight passes through a transparent microporous gel that also insulates each of the components so that the maximum energy can be extracted from both the heat-collecting metal fins and the solar cells. This unique stack design could utilize the full solar spectrum efficiently and enable the dispatch of electricity at any time of the day.
",2017-09-16,FOCUS,ALUMNI,?q=slick-sheet-project/stacked-hybrid-solar-converter,2014-06-17,Massachusetts,Stacked Hybrid Solar Converter,Distributed Generation, ,2765422,0.0,Non-profit,Pivot,Persist,,Recent publications
30,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) is developing a high-efficiency solar cell grown on a low-cost silicon wafer, which incorporates a micro-scale heat management system. The team will employ a novel fabrication process to ensure compatibility between the indium gallium phosphide (InGaP) solar cell and an inexpensive silicon wafer template, which will reduce cell costs. MIT will also develop a color-selective filter, designed to split incoming concentrated sunlight into two components. One component will be sent to the solar cells and immediately converted into electricity and the other will be sent to a thermal receiver to be captured as heat. This will allow the simultaneous availability of electricity and heat. By leveraging the InGaP system, MIT's solar cells will be more tolerant to high temperature operation than today's PV cells and allow recovery of more useful higher temperature waste heat through the micro-scale heat management system. The solar cell and heat recovery system will enable more efficient use of the entire solar spectrum to produce dispatchable renewable electricity.
",2015-07-31,FOCUS,ALUMNI,?q=slick-sheet-project/low-cost-hetero-epitaxial-solar-cell-hybrid-converter,2014-05-15,Massachusetts,Low-Cost Hetero-Epitaxial Solar Cell for Hybrid Converter,Distributed Generation, ,594327,0.0,Non-profit,Pivot,Persist,,
31,Metis Design Corporation (MDC),"Metis Design Corporation (MDC) with Lawrence Berkley National Laboratory will develop a Brayton cycle engine for residential use to produce heat and electricity. To begin the cycle, air is drawn into the system where it is compressed and pressurized. This compressed air is then heated in a recuperator and introduced in to the combustion chamber. Fuel is injected in to the combustion chamber and subsequently the air-fuel mixture is ignited. The high temperature exhaust gases then expand through a turbine, providing some of the work that drives the original compressor and the remainder produces electricity in a generator. Other innovations include adding a rotating vaneless diffuser to the compression process to reduce viscous losses that would normally reduce the efficiency of small compressors. The design also includes a high-efficiency recuperator to capture waste heat from the turbine exhaust and a low swirl burner to reduce emissions.
",2018-12-31,GENSETS,ALUMNI,?q=slick-sheet-project/advanced-microturbine-engine-residential-chp,2015-10-22,Massachusetts,Advanced Microturbine Engine for Residential CHP,Distributed Generation, ,2614492,0.0,For-profit,Perish,Persist,"Doing stuff for NASA/NAVY, no distributed power",Patent just granted
32,Michigan State University (MSU),"Michigan State University (MSU) will develop high-voltage diamond semiconductor devices for use in high-power electronics. Diamond is an excellent conductor of electricity when boron or phosphorus is added--or doped--into its crystal structures. It can also withstand much higher temperatures with higher performance levels than silicon, which is used in the majority of today's semiconductors. However, current techniques for growing doped diamond and depositing it on electronic devices are difficult and expensive. MSU is overcoming these challenges by using an innovative, low-cost, lattice-etching method on doped diamond surfaces, which will facilitate improved conductivity in diamond semiconductor devices.

",2017-09-30,SWITCHES,ALUMNI,?q=slick-sheet-project/diamond-semiconductor-devices,2014-02-19,Michigan,Diamond Semiconductor Devices,Electrical Efficiency, ,2245868,0.0,Non-profit,Pivot,Persist," researchy, no patent","Patent, PI still actively doing research in area"
33,MicroLink Devices,"MicroLink Devices will engineer affordable, high-performance transistors for power conversion. Currently, high-performance power transistors are prohibitively expensive because they are grown on expensive gallium nitride (GaN) semiconductor wafers. In conventional manufacturing processes, this expensive wafer is permanently attached to the transistor, so the wafer can only be used once. MicroLink Devices will develop an innovative method to remove the transistor structure from the wafer without damaging any components, enabling wafer reuse and significantly reducing costs.
",2017-12-09,SWITCHES,ALUMNI,?q=slick-sheet-project/high-power-transistor-fabrication,2014-03-10,Illinois,High-Power Transistor Fabrication,Electrical Efficiency, ,3225000,0.0,For-profit,Perish,Pivot,"nothing about GaN liftoff, using different substrates",InGaP
34,Monolith Semiconductor,"Monolith Semiconductor will utilize advanced device designs and existing low-cost, high-volume manufacturing processes to create high-performance silicon carbide (SiC) devices for power conversion. SiC devices provide much better performance and efficiency than their silicon counterparts, which are used in the majority of today's semiconductors. However, SiC devices cost significantly more. Monolith will develop a high-volume SiC production process that utilizes existing silicon manufacturing facilities to help drive down the cost of SiC devices.
",2017-09-30,SWITCHES,ALUMNI,?q=slick-sheet-project/advanced-manufacturing-sic-mosfets,2014-01-01,Texas,Advanced Manufacturing for SiC MOSFETS,Electrical Efficiency, ,3225000,0.0,For-profit,Pivot,Persist,Acquired by littlefuse,
35,National Renewable Energy Laboratory (NREL),"The National Renewable Energy Laboratory (NREL) is developing a solar thermoelectric generator to directly convert heat from concentrated sunlight to electricity. Thermoelectric devices can directly convert heat to electricity, yet due to cost and efficiency limitations they have not been viewed as a viable large-scale energy conversion technology. However, new thermoelectric materials have dramatically increased the efficiency of direct heat-to-electricity conversion. NREL is using these innovative materials to develop a new solar thermoelectric generator. This device will concentrate sunlight onto an absorbing surface on top of a thermoelectric stage, the resulting temperature difference between the top and bottom of the device will drive the generator to produce electricity at 3 times the efficiency of current systems. NREL's solar thermoelectric generator could reduce the cost associated with converting large amounts of solar energy into electricity through a much simpler and scalable process which does not rely upon moving parts and transfer fluids.
",2018-12-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/solar-thermoelectric-generator,2013-02-01,Colorado,Solar Thermoelectric Generator,Distributed Generation, ,4162496,1.0,Non-profit,Pivot,Persist,Different materials,
36,Northeastern University,"Northeastern University will develop a new class of universal power converters that can be used in a wide range of applications including renewable energy systems, automotive, and manufacturing technologies. Northeastern will focus the project on the design, simulation, prototyping, and experimental evaluation for PV systems. This project proposes a new class of converters that can both step up and step down the voltage. This converter uses a very small film capacitor for transferring the power from the input to the output. The proposed technology eliminates the need for electrolytic capacitors, and can double the lifetime and reliability of power converters. The power density of this class of power converters is also high since it can use an integrated, single-phase, high-frequency transformer instead of heavy and bulky low-frequency transformers. In this project, two 3kW prototypes will be fabricated and tested. The first will use silicon insulated-gate bipolar transistors and its switching frequency will be below 10kHz. The second prototype will employ silicon carbide (SiC) metal oxide semiconductor Field-Effect Transistors (MOSFETs) with the target switching frequency at 50kHz. Significant reduction (6X) in inverter weight and improvement in inverter efficiency (&gt; 1.5%) is expected in the proposed solution that combines the novel circuit topology and the SiC transistors over traditional PV inverters.

",2017-12-05,IDEAS,ALUMNI,?q=slick-sheet-project/power-converter-photovoltaic-applications,2016-12-06,Massachusetts,Power Converter for Photovoltaic Applications,Distributed Generation, ,240118,1.0,Non-profit,Pivot,Persist,,New ARPA-E grant
37,NumerEx,"NumerEx will develop a Stabilized Liner Compressor (SLC) which uses a liquid metal liner for non-destructive experimentation and operation, meaning the liner implosion is quickly repeatable. The SLC uses a rotating chamber, in which liquid metal is formed into a hollow cylinder. The liquid is pushed by pistons driven by high-pressure gas, collapsing the inner surface around a target on the axis. The rotation of the liquid liner avoids instabilities that would otherwise occur during compression of the plasma. After each experiment, the liquid liner can flow back to its original position for subsequent implosion. In the NumerEx team's conceptual design for a power plant, the liquid liner acts as a blanket absorbing radiation from fusion reactions, reducing damage to the reactor hardware and creating fusion fuel for future reactor operation. Additionally, energy from the recoil of the liner and piston can be captured and reused, making the power plant design more efficient.

",2018-10-31,ALPHA,ALUMNI,?q=slick-sheet-project/stabilized-liner-compressor-low-cost-fusion,2015-10-01,New Mexico,Stabilized Liner Compressor For Low-Cost Fusion,Centralized Generation, ,3043946,0.0,For-profit,Pivot,Persist,Ran out of money?,"? ""company"" does plasma stuff still"
38,Oak Ridge National Laboratory (ORNL),"Oak Ridge National Laboratory (ORNL) is redesigning a fuel cell electrode that operates at 250?C. Today's solid acid fuel cells (SAFCs) contain relatively inefficient cathodes, which require expensive platinum catalysts for the chemical reactions to take place. ORNL's fuel cell will contain highly porous carbon nanostructures that increase the amount of surface area of the cell's electrolyte, and substantially reduce the amount of catalyst required by the cell. By using nanostructured electrodes, ORNL can increase the performance of SAFC cathodes at a fraction of the cost of existing technologies. The ORNL team will also modify existing fuel processors to operate efficiently at reduced temperatures; those processors will work in conjunction with the fuel cell to lower costs at the system level. ORNL's innovations will enable efficient distributed electricity generation from domestic fuel sources using less expensive catalysts.

",2017-10-07,REBELS,ALUMNI,?q=slick-sheet-project/nanocomposite-electrodes-solid-acid-fuel-cell-stack,2014-10-01,Tennessee,Nanocomposite Electrodes for a Solid Acid Fuel Cell Stack,Distributed Generation,Storage,2750000,0.0,Non-profit,Pivot,Persist,Still publishing/presenting similar projects,
39,Oregon State University (OSU),"Oregon State University (OSU) will precisely measure the performance of three commercially-available home generators. The team will collect data on engine efficiency, endurance, emissions, and calculate a levelized cost of electricity (LCOE) for each generator. Published data on the performance of small generators is scarce, which has hampered efforts to identify where new technologies can be applied to improve the efficiency of small generators. The rigorous and repeatable measurements collected through this project will be an important step forward in developing future high-performance distributed power generation systems.

",2016-07-31,IDEAS,ALUMNI,?q=slick-sheet-project/home-generator-benchmarking-program,2014-07-15,Oregon,Home Generator Benchmarking Program,Distributed Generation,Transportation Fuels,488061,1.0,Non-profit,Pivot,Persist,,Still publishing benchmarks
40,Otherlab,"Otherlab is developing an inexpensive small mirror system with an innovative drive system to reflect sunlight onto concentrating solar power towers at greatly reduced cost. This system is an alternative to expensive and bulky 20-30 foot tall mirrors and expensive sun-tracking drives used in today's concentrating solar power plants. In order for solar power tower plants to compete with conventional electricity generation, these plants need dramatic component cost reductions and lower maintenance and operational expenses. Otherlab's approach uses a smaller modular mirror design that reduces handling difficulty, suffers less from high winds, and allows the use of mass manufacturing processes for low-cost component production. These mirrors can be driven by mechanisms that utilize simpler, more readily serviceable parts which decreases system downtime and efficiency. The incorporation of low-cost and highly-scalable manufacturing approaches could significantly reduce the cost of solar electricity generation below conventional solar tower plant technologies.

",2017-09-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/small-mirrors-solar-power-tower-plants,2013-02-19,California,Small Mirrors for Solar Power Tower Plants,Distributed Generation, ,4290432,1.0,For-profit,Pivot,Persist,,
41,Pratt & Whitney Rocketdyne (PWR),"Pratt &amp; Whitney Rocketdyne (PWR) is developing a new combustor for gas turbine engines that uses shockwaves for more efficient combustion through a process known as continuous detonation. These combustors would enable more electricity to be generated from a given amount of natural gas, increasing the efficiency of gas turbine engines while reducing greenhouse gas emissions. PWR will design and build continuous detonation combustors and test them in a simulated gas turbine environment to demonstrate the feasibility of incorporating the technology into natural gas-fueled turbine electric power generators.
",2015-03-15,OPEN 2012,ALUMNI,?q=slick-sheet-project/continuous-detonation-engine-combustors,2013-06-14,California,Continuous Detonation Engine Combustors,Distributed Generation, ,462236,1.0,For-profit,Pivot,Perish,test only lasted 7s,Patents expired
42,Princeton University,"Princeton University is developing a non-invasive, low-cost, ultrasonic diagnostic system to determine battery state-of-health and state-of-charge, and to monitor internal battery defects. This system links the propagation of sound waves through a battery to the material properties of components within the battery. As a battery is cycled, the density and mechanical properties of its electrodes change; as the battery ages, it experiences progressive formation and degradation of critical surface layers, mechanical degradation of electrodes, and consumption of electrolyte. All of these phenomena affect how the sound waves pass through the battery. There are very few sensing techniques available that can be used during battery production and operation which can quickly identify changes or faults within the battery as they occur. As an ARPA-E IDEAS project, this early stage research project will provide proof of concept for the sensing technique and build a database of acoustic signatures for different battery chemistries, form factors, and use conditions.  If successful, this ultrasonic diagnostic system will improve battery quality, safety, and performance of electric vehicle and grid energy storage systems via two avenues: (1) more thorough and efficient cell screening during production, and (2) physically relevant information for more informed battery management strategies.

",2017-03-30,IDEAS,ALUMNI,?q=slick-sheet-project/acoustic-analysis-battery-testing,2015-10-01,New Jersey,Acoustic Analysis for Battery Testing,Electrical Efficiency, ,486825,1.0,Non-profit,Pivot,Persist,How did this change for feasible's application,too much persist
43,Qromis,"Qromis will develop a new type of gallium nitride (GaN) transistor, called a lateral junction field effect transistor (LJFET) and investigate its reliability compared to other types of transistors, such as SiC junction field effect transistors (JFETs) and GaN-based high electron mobility transistors (HEMTs). Qromis' innovative LJFET design distributes and places the peak electric field away from the surface, eliminating a key point of failure that has plagued GaN HEMT devices and prevented them from achieving widespread use. If successful, this project will deliver a 1.5kV, 10A GaN LJET devices that would be scalable to 100A. The devices will be fabricated on thick, uniform GaN layers deposited on a coefficient of thermal expansion matched 8-inch QST? engineered platform that is compatible with current silicon processing equipment - reducing the cost of the devices. The uniform GaN layers on the large area platform will increase the yield of the devices further decreasing the cost. Finally, the thick GaN will enable the higher voltage standoff and improve the thermal management of the devices.

",2018-09-30,IDEAS,ALUMNI,?q=slick-sheet-project/reliable-and-self-clamped-gan-switch,2017-04-01,California,Reliable and Self-Clamped GaN Switch,Electrical Efficiency, ,500000,1.0,For-Profit,Pivot,Persist,"seems pretty researchy, not offering products",
44,SAFCell,"SAFCell is developing solid acid fuel cells (SAFCs) that operate at 250 ?C and will be nearly free of precious metal catalysts. Current fuel cells either rely on ultra-pure hydrogen as a fuel and operate at low temperatures for vehicles technologies, or run on natural gas, but operate only at high temperatures for grid-scale applications. SAFCell's fuel cell is utilizing a new solid acid electrolyte material to operate efficiently at intermediate temperatures and on multiple fuels.  Additionally, the team will dramatically lower system costs by reducing precious metals, such as platinum, from the electrodes and developing new catalysts based on carbon nanotubes and metal organic frameworks. The proposed SAFC stack design will lead to the creation of low cost fuel cells that can withstand common fuel impurities, making them ideal for distributed generation applications.

",2018-06-30,REBELS,ALUMNI,?q=slick-sheet-project/solid-acid-fuel-cell-stack,2014-10-01,California,Solid Acid Fuel Cell Stack,Distributed Generation,Storage,3699230,0.0,For-profit,Pivot,Persist,They reapplied for another grant to do ammonia conversion,
45,Saint-Gobain Ceramics & Plastics,"Saint-Gobain Ceramics &amp; Plastics is conducting early-stage research to extend operating temperatures of industrial ceramics in steam-containing atmospheres up to 1,500 ?C. Materials that are able to adequately withstand these punishing conditions are needed to create durable solar fuel reactors. The most attractive material based on high-temperature strength and thermal shock resistance is sintered (the process of compacting solid material without melting it) silicon carbide (SiC). However, the highly reactive H<sub>2</sub>O/H2/CO/CO<sub>2</sub> atmosphere within a solar reactor causes most industrial ceramics, including SiC, to degrade at temperatures above 1,200 ?C. At those temperatures volatile reaction products are formed, which continually eat away at the integrity of the reactor walls. The Saint-Gobain team is conducting research along three lines of inquiry: 1) Creating high-temperature coatings for the SiC material; 2) Creating ""self-healing"" SiC surfaces which are created via an oxidation reaction on an ongoing basis as the surface layer is damaged; and 3) Testing alternative ceramic materials which could be more robust. The results of the three lines of inquiry will be evaluated based on stability modeling and thermal cycling testing (i.e. repeatedly heating and cooling the materials) under simulated conditions. As an ARPA-E IDEAS project, this research is at a very early stage. If successful, the technology could potentially result in significant energy and cost savings to the U.S. economy by allowing liquid transportation fuel to be produced from water and carbon dioxide from the air via solar energy instead of conventional sources. In addition SiC materials with enhanced oxidation resistance could be applied to vessels and components across many industrial, thermal, chemical, and petrochemical processes.

",2017-04-30,IDEAS,ALUMNI,?q=slick-sheet-project/high-temperature-ceramics-solar-fuel-production,2016-01-19,Massachusetts,High Temperature Ceramics for Solar Fuel Production,Distributed Generation, ,494637,1.0,For-Profit,Perish,Persist,can't find any info/newly introduced products,Company seems to be selling coating now
46,Sandia National Laboratories,"Sandia National Laboratories will develop a new type of switch, a 100kV optically controlled switch (often called photoconductive semiconductor switch or PCSS), based on the WBG semiconductors GaN and AlGaN. The capabilities of the PCSS will be demonstrated in high-voltage circuits for medium and high voltage direct current (MVDC/HVDC) power conversion for grid applications. Photoconductivity is the measure of a material's response to the energy inherent in light radiation. The electrical conductivity of a photoconductive material increases when it absorbs light. The team will first measure the photoconductive properties of GaN and AlGaN in order to assess if they operate similarly to gallium arsenide, a conventional semiconductor material used for PCSS, demonstrating sub-bandgap optical triggering and low-field, high-gain avalanche providing many times as many carriers by the electric field as created by the optical trigger. These two effects provide a tremendous reduction in the optical trigger energy required to activate the switch. The team will then design and fabricate GaN and AlGaN-based photoconductive semiconductor switches. The team predicts that WBG PCSS will outperform their predecessors with higher switch efficiency, the ability to switch at higher voltages, and will turn-off and recover faster, allowing for a higher frequency of switching. Ultimately, this will enable high-voltage switch assemblies (50-500kV) that can be triggered from a single, small driver (e.g. semiconductor laser). These modules will be substantially smaller (~10x) and simpler than existing modules used in grid-connected power electronics, allowing the realization of inexpensive and efficient switch modules that can be used in DC to AC power conversion systems on the grid at distribution and transmission scales.

",2018-10-31,IDEAS,ALUMNI,?q=slick-sheet-project/power-conversion-photoconductive-switches,2017-05-01,New Mexico,Power Conversion with Photoconductive Switches,Electrical Efficiency, ,500000,1.0,Non-profit,Pivot,Persist,,Still actively researched?
47,Sandia National Laboratories,"Sandia National Laboratories will develop a prototype DC-DC converter in a modular, scalable, mass-producible format that is capable of 10kW or greater and could fit onto a single circuit board. Inefficiency and construction costs associated with AC distribution/transmission and DC-AC conversion are motivating many to consider direct connection of PV to DC distribution (and even DC transmission) circuits. The prototype proposed in this project would enable PV panels to be connected to a medium-to-high voltage DC distribution circuit using a power converter about the size of an average textbook. The team will demonstrate a high-voltage, high-power density, hybrid switched-capacitor power conversion circuit that relies on the concurrent use of silicon carbide (SiC) active switches and leading-edge, 1200V rated, vertical gallium nitride (GaN) diodes. Both SiC and GaN have individually led to improvements in converter performance that permits higher switching frequencies, blocking voltages, and operating temperatures. The team plans to exploit the use of SiC switches coupled with GaN diodes, utilizing the benefits of both materials to achieve improved power density and better performance. These devices would enable improved efficiency and small size, which would reduce assembly, transportation, and installation costs.  The proposed circuit topology would be scalable to 100s of kW and 10s of kV, enabling a whole string of modules in a PV plant to be connected to a DC distribution circuit through a converter of about the size of a midsize microwave oven. The converter can be applied to other renewable sources, but in particular, this technology could greatly accelerate the adoption of PV onto the grid by enabling cheaper and more efficient medium voltage and high voltage DC distribution networks.

",2017-12-20,IDEAS,ALUMNI,?q=slick-sheet-project/high-gain-step-converters,2016-12-21,New Mexico,High Gain Step-Up Converters,Distributed Generation, ,500000,1.0,Non-profit,Pivot,Persist,Tried a couple of configurations,"? Publications in 2018, nothing since then"
48,SolarBridge Technologies,"SolarBridge Technologies is developing a new power conversion technique to improve the energy output of PV power plants. This new technique is specifically aimed at large plants where many solar panels are connected together. SolarBridge is correcting for the inefficiencies that occur when two solar panels that encounter different amounts of sun are connected together. In most conventional PV system, the weakest panel limits the energy production of the entire system. That's because all of the energy collected by the PV system feeds into a single collection point where a central inverter then converts it into useable energy for the grid. SolarBridge has found a more efficient and cost-effective way to convert solar energy, correcting these power differences before they reach the grid.

",2015-06-22,Solar ADEPT,ALUMNI,?q=slick-sheet-project/efficient-power-converters-pv-arrays,2012-02-23,Texas,Efficient Power Converters for PV Arrays,Distributed Generation, ,1099848,0.0,For-profit,Pivot,Persist,Acquired by sunpower,SunPower still seems to sell
49,Stanford University,"By leveraging advanced microfabrication processes, the team led by Stanford University will develop a scalable heat-to-electricity conversion device with higher performance at a lower manufacturing cost than is presently available to industry. The team's solid-state conversion device is based on a 20th century thermionic converter design, where an electric current is produced by heating up an electrode to eject electrons across a vacuum gap for collection by a cooler electrode. Historically, thermionic energy converters are limited by heat losses and are costly to manufacture due to the high precision used in their construction. However, by utilizing wafer-based fabrication processes to create a much smaller vacuum gap and enhanced thermal isolation structures, Stanford's thermionic converter will result in improved device performance, lower manufacturing cost, and a scalability for systems producing Watts to Megawatts of power. The team's initial focus is on the residential Combined Heat and Power (CHP) applications, but their innovative microfabricated thermionic device could also be used to improve efficiency in high-temperature solar thermal systems as well as convert waste heat from factory equipment, power plants, and vehicles to useful power.

",2018-12-31,OPEN 2015,ALUMNI,?q=slick-sheet-project/high-efficiency-energy-converters-0,2016-06-01,California,High-Efficiency Energy Converters,Distributed Generation, ,3985608,1.0,Non-profit,Pivot,Persist,"Tech seems similar, but not much movement on initial market",
50,Tandem PV,"Tandem PV will develop and test an advanced processing tool that integrates high-throughput solution deposition  and precise drying to deposit large-area perovskite thin films of exceptional optical and electronic quality. Production of these films on large areas is a critical step towards perovskite-Si tandem PV cells that can achieve significantly higher efficiency than traditional Si PV cells. Small-scale perovskite PV device fabrication typically occurs using a spin-coating process, but the process is not easily scalable. The ability to deposit perovskite PV devices with a large-scale production technique while achieving the same quality and stability achieved by record-setting spin-coated laboratory cells would be a significant step forward.  If the project is successful, it will remove a major obstacle to the successful commercialization of perovskite PVs.?

",2018-12-31,IDEAS,ALUMNI,?q=slick-sheet-project/unlock-perovskite-photovoltaics,2017-10-31,California,Unlock Perovskite Photovoltaics,Distributed Generation, ,450500,1.0,For-profit,Pivot,Persist,Combining w/ existing Si panels,Company still active
51,Teledyne Scientific & Imaging,"Teledyne Scientific &amp; Imaging is developing cost-effective power drivers for energy-efficient LED lights that fit on a compact chip. These power drivers are important because they transmit power throughout the LED device. Traditional LED driver components waste energy and don't last as long as the LED itself. They are also large and bulky, so they must be assembled onto a circuit board separately which increases the overall manufacturing cost of the LED light. Teledyne is shrinking the size and improving the efficiency of its LED driver components by using thin layers of an iron magnetic alloy and new gallium nitride on silicon devices. Smaller, more efficient components will enable the drivers to be integrated on a single chip, reducing costs. The new semiconductors in Teledyne's drivers can also handle higher levels of power and last longer without sacrificing efficiency. Initial applications for Teledyne's LED power drivers include refrigerated grocery display cases and retail lighting.
",2013-07-31,ADEPT,ALUMNI,?q=slick-sheet-project/chip-scale-power-conversion-led-lighting,2010-10-01,California,Chip-Scale Power Conversion for LED Lighting,Electrical Efficiency, ,3436541,0.0,For-profit,Perish,Persist,"They definitely aren't doing the applications they specified in the target, seem to be out of the energy technology game",Product for sale
52,Texas Engineering Experiment Station (TEES),"Texas Engineering Experiment Station (TEES) is developing a system to generate electricity from low-temperature waste heat streams. Conventional waste heat recovery technology is proficient at harnessing energy from waste heat streams that are at a much higher temperature than ambient air. However, existing technology has not been developed to address lower temperature differences. The proposed system cycles between heating and cooling a metal hydride to produce a flow of pressurized hydrogen. This hydrogen flow is then used to generate electricity via a turbine generator. TEES's system has the potential to be more efficient than conventional waste heat recovery technologies based on its ability to harness smaller temperature differences than are necessary for conventional waste heat recovery.
",2015-09-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/electricity-low-temperature-waste-heat,2013-04-01,Texas,Electricity from Low-Temperature Waste Heat,Distributed Generation, ,1244006,1.0,Non-profit,Perish,Pivot,"No publictions, nothing on website","Partner company bought out, doesn't seem to be continued"
53,Texas Engineering Experiment Station (TEES),"Texas Engineering Experiment Station (TEES) and their partners will build a micro-CPV system that incorporates waveguide technology. A waveguide concentrates and directs light to a specific point. TEES's system uses a grid of waveguides to concentrate sunlight onto a set of coupling elements which employ a 45 degree turning mirror to further concentrate the light and increase the efficiency of the system. Each coupling element is oriented to direct its specific beam of light towards high-efficiency, multi-junction solar cells. Further system efficiency is gained by capturing diffuse light in a secondary layer. The system also includes a secondary layer that captures diffuse sunlight, increasing its overall efficiency.
",2018-12-31,MOSAIC,ALUMNI,?q=slick-sheet-project/waveguiding-solar-concentrator,2016-02-01,Texas,Waveguiding Solar Concentrator,Distributed Generation, ,991898,0.0,Non-profit,Pivot,Persist,"Seems like they're using it for research funding, not much info on actual commercialization",Publication this year
54,Transphorm,"Transphorm is developing power switches for new types of inverters that improve the efficiency and reliability of converting energy from solar panels into useable electricity for the grid. Transistors act as fast switches and control the electrical energy that flows in an electrical circuit. Turning a transistor off opens the circuit and stops the flow of electrical current; turning it on closes the circuit and allows electrical current to flow. In this way a transistor can be used to convert DC from a solar panel into AC for use in a home. Transphorm's transistors will enable a single semiconductor device to switch electrical currents at high-voltage in both directions--making the inverter more compact and reliable. Transphorm is using Gallium Nitride (GaN) as a semiconductor material in its transistors instead of silicon, which is used in most conventional transistors, because GaN transistors have lower losses at higher voltages and switching frequencies.
",2015-03-31,Solar ADEPT,ALUMNI,?q=slick-sheet-project/efficient-switches-solar-power-conversion,2012-02-13,California,Efficient Switches for Solar Power Conversion,Distributed Generation, ,2446140,0.0,For-profit,Pivot,Persist,"They make the underlying tech, but nothing explictly for solar pv",Added new product line in June
55,Tulane University,"Tulane University and its partners are developing a hybrid solar energy system capable of capturing, storing, and dispatching solar energy.  The system will collect sunlight using a dual-axis tracker with concentrator dish that focuses sunlight onto a hybrid solar energy receiver. Ultraviolet and visible light is collected in very high efficiency solar cells with approximately half of this part of the spectrum converted to electricity. The infrared part of the spectrum passes through the cells and is captured by a thermal receiver that converts this part of the spectrum into heat with nearly 95% efficiency. The heat is captured by a fluid that is heated to a temperature between 100 - 590?C. This heat energy can be immediately for a variety of commercial and industrial applications that require thermal energy or the heat may be stored in a small-scale thermal energy storage bank that stores energy for conversion to electricity by a heat engine when needed most. Tulane University's system will enable efficient use of the full solar spectrum while storing a large component of sunlight as heat for industrial processes or conversion into electricity at any time of day.

",2018-09-30,FOCUS,ALUMNI,?q=slick-sheet-project/hybrid-solar-converter,2014-08-01,Louisiana,Hybrid Solar Converter,Distributed Generation, ,3299936,0.0,Non-profit,Pivot,Persist,dont think they hit cost targets,Patent Application in 2018
56,United Technologies Research Center (UTRC),"United Technologies Research Center (UTRC) is developing an intermediate-temperature fuel cell for residential applications that will combine a building's heating and power systems into one unit. Existing fuel cell technologies usually focus on operating low temperatures for vehicle technologies or at high temperatures for grid-scale applications. By creating a metal-supported proton conducting fuel cell with a natural gas fuel processor, UTRC could lower the operating system temperatures to under 500 ?C. The use of metal offers faster start-up times and the possibility of lower manufacturing costs and additional automation options, while the proton conducting electrolyte offers the potential for higher ionic conductivity at lower temperatures than regular oxygen conducting solid oxide electrolyte materials. An intermediate temperature electrolyte will be used to achieve a lower operating temperature, while a redesigned cell architecture will increase the efficiency and lower the cost of UTRC's overall system.

",2018-03-19,REBELS,ALUMNI,?q=slick-sheet-project/intermediate-temperature-solid-oxide-fuel-cell-stack,2014-10-01,Connecticut,Intermediate Temperature Solid Oxide Fuel Cell Stack,Distributed Generation,Storage,3349695,0.0,For-profit,Pivot,Perish,https://www.nature.com/articles/s41560-017-0085-9,"Recent publications, but patent has been abandoned"
