Program,Program Targets,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Comments
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,United Technologies Research Center (UTRC),ALUMNI,For-profit,10/1/12,3/31/16,Transportation Fuels,http://www.utrc.utc.com/,https://arpa-e.energy.gov/sites/default/files/documents/files/UTRC_MOVE_conformable_ExternalProjectImpactsheet_FINAL.pdf,,Modular Natural Gas Tank,Persist,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,University of Texas at Austin (UT Austin),ALUMNI,Non-profit,10/1/12,12/31/15,Transportation Fuels,https://www.cem.utexas.edu/content/linear-natural-gas-compressor,,,Single-Piston Natural Gas Compressor,Persist,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Ford Motor Company,CANCELLED,For-profit,9/17/12,3/31/15,Transportation Fuels,https://pubs.acs.org/doi/pdf/10.1021/acs.energyfuels.6b02510?rand=7kllnfu6,,,Low Pressure Material-Based Natural Gas Fuel System,Pivot,Now working on hydrogen storage 
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,GE Global Research,CANCELLED,For-profit,1/1/13,4/20/14,Transportation Fuels,http://www.chartindustries.com/Energy,https://www.bhge.com/midstream/gas-processing-pipeline-and-storage/virtual-natural-gas-pipeline/cng-box,,Chilled Natural Gas for At-Home Refueling,Pivot,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,Arcadia Biosciences,ALUMNI,For-profit,1/1/12,9/30/15,Transportation Fuels,https://arcadiabio.com/products/agricultural_productivity/,,,Vegetable Oil from Leaves and Stems,Perish,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,Donald Danforth Plant Science Center,ALUMNI,Non-profit,1/1/12,12/31/16,Transportation Fuels,https://patents.google.com/patent/US20180313760A1/en,https://www.sciencedirect.com/science/article/pii/S0926669019303115,,Improved Light Utilization in Camelina,Pivot,"Not working on improving light utilization, but still working on Camelina; might be characterized as Persist"
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,1/1/12,3/26/15,Transportation Fuels,http://ucbiotech.org/folium/about_us/index.html,https://scholar.google.com/citations?hl=en&user=qualVfkAAAAJ&view_op=list_works&sortby=pubdate,,Oil from Tobacco Leaves,Perish,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,North Carolina State University (NC State),ALUMNI,Non-profit,1/1/12,3/31/17,Transportation Fuels,https://arpa-e.energy.gov/sites/default/files/documents/files/NCSU_UMass_PETRO_ExternalProjectImpactSheet_FINAL.pdf,,,Jet Fuel from Camelina,Persist,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,Texas A&M Agrilife Research,ALUMNI,Non-profit,2/15/12,3/6/17,Transportation Fuels,https://agriliferesearch.tamu.edu/,https://www.pnas.org/content/pnas/113/50/14225.full.pdf,,Fuel from Tobacco and Arundo Donax,Persist,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,1/1/12,9/30/15,Transportation Fuels,http://www.seas.ucla.edu/liao_lab/,https://science.sciencemag.org/content/335/6076/1596/tab-pdf,https://patents.google.com/patent/US10006033B2/en,Efficient CO2 Fixation Pathways,Pivot,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,University of Florida,ALUMNI,Non-profit,1/1/12,9/9/17,Transportation Fuels,https://arpa-e.energy.gov/?q=impact-sheet/university-florida-petro,,,Tappable Pine Trees,Persist,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,2/15/12,3/31/17,Transportation Fuels,https://arpa-e.energy.gov/sites/default/files/documents/files/UIUC%20PETROSS%20Impact%20sheet_020617_FINAL.pdf,,,Genetically Enhanced Sorghum and Sugarcane,Persist,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,University of Massachusetts at Amherst (UMass Amherst),ALUMNI,Non-profit,1/1/12,12/31/15,Transportation Fuels,https://arpa-e.energy.gov/sites/default/files/documents/files/NCSU_UMass_PETRO_ExternalProjectImpactSheet_FINAL.pdf,,,Enhanced Carbon Concentration in Camelina,Persist,
PETRO,https://drive.google.com/open?id=17dzJRXk_dOFLuHBSIQ5yRm4ZgfX5U-4o ,https://arpa-e.energy.gov/?q=arpa-e-programs/petro,Chromatin,CANCELLED,For-profit,1/1/12,12/31/15,Transportation Fuels,Website doesn't work,https://www.hpj.com/crops/s-w-seed-acquires-chromatin-assets/article_843a5884-e2a1-11e8-9a45-bb7dd742996a.html,,Biofuels from Sorghum,Perish,
REFUEL,https://drive.google.com/open?id=1CupqgNnvCvAuVoPX3ChT335RvLbRY57C ,https://arpa-e.energy.gov/?q=arpa-e-programs/refuel,Skyre,ALUMNI,,6/9/17,9/30/18,Transportation Fuels,,,,Carbon Dioxide to Dimethyl Ether,Persist,https://www.skyre-inc.com/applications/co2-to-fuels/
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,ARZEDA,ALUMNI,For-profit,1/1/14,9/30/15,Transportation Fuels,https://www.arzeda.com/,,,Metalloenzymes for Methane Activation,Perish,
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,Calysta Energy,ALUMNI,For-profit,1/6/14,1/5/15,Transportation Fuels,http://calysta.com/calysta-acquires-bioprotein-proven-methane-feed-technology-enters-370-billion-nutritional-market-approved-product/,,,Bioreactor Designs for Rapid Fermentation,Perish,http://calysta.com/about-us/
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,GreenLight Biosciences,ALUMNI,For-profit,2/3/14,3/6/17,Transportation Fuels,https://www.prnewswire.com/news-releases/greenlight-biosciences-announces-series-d-financing-unveils-rna-strategy-300518654.html?tc=eml_cleartime,,,Cell-Free Bioconversion of Natural Gas,Perish,https://www.greenlightbiosciences.com/
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,1/1/14,12/31/16,Transportation Fuels,https://patents.google.com/patent/US20190144891A1/en,,,Enzymes for Methane Conversion,Perish,Primary contact no longer pursuing this project. Patent assignee (Kiverdi) is not either.
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,2/3/14,6/30/17,Transportation Fuels,https://patents.google.com/patent/US20160355849A1/en,,,Single-Step Methane to Liquid Fuels,Persist,https://stephanopouloslab.org/remote/
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,MOgene Green Chemicals,ALUMNI,For-profit,1/1/14,6/30/17,Transportation Fuels,https://share-ng.sandia.gov/news/resources/news_releases/remote_fuels/,,,Sunlight-Assisted Methane Conversion,Perish,
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,Northwestern University,ALUMNI,Non-profit,2/12/14,11/15/15,Transportation Fuels,http://groups.molbiosci.northwestern.edu/rosenzweig/publications.html,,,New Synthetic Catalysts for Methane Activation,Persist,
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,Oregon State University (OSU),ALUMNI,Non-profit,1/1/14,8/31/17,Transportation Fuels,"https://scholar.google.com/scholar?start=10&q=%22Goran+Jovanovic%22+%2B+%22oregon%22+state++%2B+methane&hl=en&as_sdt=0,31&as_ylo=2014",,,Bioreactor Using Ultra-Thin Plates,Persist,https://patents.google.com/patent/US20180258381A1/en
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,Pennsylvania State University (Penn State),ALUMNI,Non-profit,1/1/14,6/30/17,Transportation Fuels,https://patents.google.com/patent/US20150147791A1/en,https://scholar.google.com/citations?hl=en&user=l3M1PW0AAAAJ&view_op=list_works&sortby=pubdate,https://scholar.google.com/citations?hl=en&user=5lBWbGkAAAAJ&view_op=list_works&sortby=pubdate#d=gs_md_cita-d&u=%2Fcitations%3Fview_op%3Dview_citation%26hl%3Den%26user%3D5lBWbGkAAAAJ%26cstart%3D20%26pagesize%3D80%26sortby%3Dpubdate%26citation_for_view%3D5lBWbGkAAAAJ%3AYTuZlYwrTOUC%26tzom%3D240,Methane-to-Acetate,Perish,Nothing published by any of the three patent authors on the subject since the end of the ARPA-E grant
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,"University of California, Davis (UC Davis)",ALUMNI,Non-profit,1/7/14,9/30/17,Transportation Fuels,https://patents.google.com/patent/US20170137846A1/en,,,Ethylene-to-Butanol,Persist,
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,1/1/14,6/30/17,Transportation Fuels,http://newsroom.ucla.edu/releases/new-method-for-methanol-processing-could-reduce-carbon-dioxide-emissions,,,Synthetic Pathway for Methanol Conversion,Persist,https://www.nature.com/articles/s41467-018-06496-4
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,University of Michigan,ALUMNI,Non-profit,1/23/14,3/6/17,Transportation Fuels,https://www.pnnl.gov/science/highlights/highlight.asp?id=4308,,,Methane-to-Methanol,Pivot,"They work on methane production, but not methanol synthesis. Now doing more fundamental research. "
REMOTE,https://drive.google.com/open?id=1A8xC-mdh5w_TR3FbXFZUdjCaYoQVuxZQ ,https://arpa-e.energy.gov/?q=arpa-e-programs/remote,Coskata,CANCELLED,For-profit,1/15/14,6/13/14,Transportation Fuels,"https://en.wikipedia.org/wiki/Coskata,_Inc.",,,Methanol Fermentation in Clostridium Bacteri,Pivot,https://www.globalsyngas.org/uploads/downloads/Synata-Bio_Company_Overview.pdf
TERRA,https://drive.google.com/open?id=1Ft05Ve0AlKYt-1U0N5Rs7yCiO5yafZGX ,https://arpa-e.energy.gov/?q=arpa-e-programs/terra,Texas A&M University,ALUMNI,Non-profit,10/1/15,10/31/18,Transportation Fuels,,,,Automated TERRA Phenotyping System,Persist,https://www.sciencedirect.com/science/article/abs/pii/S0924271618303502
TRANSNET,https://drive.google.com/open?id=1kQmY2IeoRn36F2Gvt0wBjtr249scdBSh ,https://arpa-e.energy.gov/?q=arpa-e-programs/transnet,Georgia Tech Research Corporation,ALUMNI,Non-profit,1/6/16,8/15/18,Transportation Network,,,,Network Performance Monitoring and Distributed Simulation,Persist,https://scholar.google.com/citations?hl=en&user=LRMzl7IAAAAJ&view_op=list_works&sortby=pubdate
TRANSNET,https://drive.google.com/open?id=1kQmY2IeoRn36F2Gvt0wBjtr249scdBSh ,https://arpa-e.energy.gov/?q=arpa-e-programs/transnet,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,12/11/15,9/10/18,Transportation Network,http://web.mit.edu/cami/Public/CLA_Tripod_TRB_2018_preprint.pdf,,,"Sustainable Travel Incentives with Prediction, Optimization and Personalization (TRIPOD)",Persist,
TRANSNET,https://drive.google.com/open?id=1kQmY2IeoRn36F2Gvt0wBjtr249scdBSh ,https://arpa-e.energy.gov/?q=arpa-e-programs/transnet,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,1/20/16,12/31/18,Transportation Network,https://ipeec.org/upload/publication_related_language/pdf/811.pdf,,,The Connected Traveler: A Framework to Reduce Energy Use in Transportation,Persist,https://www.youtube.com/watch?v=c2htGVjqv7w
TRANSNET,https://drive.google.com/open?id=1kQmY2IeoRn36F2Gvt0wBjtr249scdBSh ,https://arpa-e.energy.gov/?q=arpa-e-programs/transnet,Palo Alto Research Center (PARC),ALUMNI,For-profit,12/28/15,7/27/18,Transportation Network,https://dl.acm.org/citation.cfm?id=3314271,,,Collaborative Optimization and Planning for Transportation Energy Reduction (COPTER),Persist,
TRANSNET,https://drive.google.com/open?id=1kQmY2IeoRn36F2Gvt0wBjtr249scdBSh ,https://arpa-e.energy.gov/?q=arpa-e-programs/transnet,University of Maryland (UMD),ALUMNI,Non-profit,11/23/15,8/30/18,Transportation Network,https://arpa-e.energy.gov/sites/default/files/UMD-TRANSNET-May1.pdf,,,Traveler Information and Incentive Technology,Persist,
