,companies,tagline,program,startDate,endDate,projectStatus,state,description,techCat1,techCat2,projecturl,companyCopy
139,Cornell University,Thermoregulatory Clothing System,DELTA,04/27/2015,08/15/2018,ALUMNI,New York,"Cornell University will develop thermoregulatory apparel that enables the expansion of the comfortable temperature range in buildings by more than 4°F in both heating and cooling seasons. Cornell's thermoregulatory apparel integrates advanced textile technologies and state-of-the-art wearable electronics into a functional apparel design without compromising comfort, wearability, washability, appearance, or safety. The thermoregulatory clothing system senses the wearer's skin temperature and activates a heated or cooled airflow around the individual, reducing the energy required to heat or cool the building itself by satisfying the comfort requirements of the individual.

",Building Efficiency, ,?q=slick-sheet-project/thermoregulatory-clothing-system,Cornell University
140,Cornell University,Indoor Occupant Counting Based on RF Backscattering,SENSOR,04/26/2018,10/25/2020,ACTIVE,New York,"Cornell University will develop an occupant monitoring system to enable more efficient control of HVAC systems in commercial buildings. The system is based on a combination of ""active"" radio frequency identification (RFID) readers and ""passive"" tags. Instead of requiring occupants to wear tags, the tags, as coordinated landmarks, will be distributed around a commercial area to enable an accurate occupancy count. When occupants, stationary or moving, are present among the RFID reader and multiple tags, their interference on the backscattering paths can be exploited to gain insights on the room population. The distributed tags will operate without the need for a power source. The system will employ efficient biomechanical models and inverse imaging algorithms to estimate the size, posture, and motion of the collected geometry and distinguish people from furniture and pets. Occupancy data is then sent to the building control system to manage the heating, cooling and air flow in order to maximize building energy efficiency while providing optimal human comfort.

",Building Efficiency, ,?q=slick-sheet-project/indoor-occupant-counting-based-rf-backscattering,Cornell University
144,Cree,Utility-Scale Solar Power Converter,Solar ADEPT,01/25/2012,07/31/2017,ALUMNI,North Carolina,"Cree is developing a compact, lightweight power conversion device that is capable of taking utility-scale solar power and outputting it directly into the electric utility grid at distribution voltage levels--eliminating the need for large transformers. Transformers ""step up"" the voltage of the power that is generated by a solar power system so it can be efficiently transported through transmission lines and eventually ""stepped down"" to usable voltages before it enters homes and businesses. Power companies step up the voltage because less electricity is lost along transmission lines when the voltage is high and current is low. Cree's new power conversion devices will eliminate these heavy transformers and connect a utility-scale solar power system directly to the grid. Cree's modular devices are designed to ensure reliability--if one device fails it can be bypassed and the system can continue to run.
",Electrical Efficiency, ,?q=slick-sheet-project/utility-scale-solar-power-converter,Cree
146,Cree Fayetteville,Efficient 500kW DC Fast Charger,CIRCUITS,03/14/2018,03/13/2021,ACTIVE,Arkansas,"Cree Fayetteville (operating as Wolfspeed, A Cree Company) will team with Ford Motor Company and the University of Michigan-Dearborn to build a power converter for DC fast chargers for electric vehicles using a solid-state transformer based on silicon carbide. The team will construct a single-phase 500 kW building block for a DC fast charger that is at least four times the power density of todays installed units. This device would offer significant improvements in efficiency (greater than 60% less power losses), size/weight (greater than 75% smaller size, 85% less weight), and cost (40% lower materials costs) over the state-of-the-art. Using this system, an electric vehicle (100 kWh) will deliver long driving range with 6 mins of recharge. The compact size also reduces the footprint and structural costs in high-cost real estate in areas with high-population. The teaming of an end user (Ford) directly with the disruptive technology provider (Cree Fayetteville) may accelerate the deployment of fast charge capability for electric vehicles.

",Electrical Efficiency, ,?q=slick-sheet-project/efficient-500kw-dc-fast-charger,Cree Fayetteville
152,Det Norske Veritas (DNV GL),Internet of Energy for Optimized Distributed Energy Resources,NODES,08/15/2016,08/14/2019,ALUMNI,Massachusetts,"DNV GL together with its partners, Geli and Group NIRE, will develop an Internet of Energy (IoEn) platform for the automated scheduling, aggregation, dispatch, and performance validation of network optimized DERs and controllable loads. The IoEn platform will simultaneously manage both system-level regulation and distribution-level support functions to facilitate large-scale integration of distributed generation onto the grid. The IoEn will demonstrate a novel and scalable approach for the fast registration and automated dispatch of DERs by combining DNV GL's power system simulation tools and independent third-party validation with Geli's networking, control, and market balancing software. The platform will demonstrate the ability of customer-sited DERs to provide grid frequency regulation and distribution reliability functions with minimal impact to their local behind-the-meter demand management applications. The IoEn will be demonstrated and tested at Group NIRE's utility-connected microgrid test facility in Lubbock, Texas, where it will be integrated with local utility monitoring, control and data acquisition systems. By increasing the number of local devices able to connect and contribute to the IoEn, this project aims to increase renewables penetration above 50% while maintaining required levels of grid performance.

",Grid, ,?q=slick-sheet-project/internet-energy-optimized-distributed-energy-resources,Det Norske Veritas (DNV GL)
155,Dioxide Materials,Converting CO2 into Fuel and Chemicals,OPEN 2012,02/01/2013,03/06/2017,ALUMNI,Florida,"Dioxide Materials is developing technology to produce carbon monoxide, or ""synthesis gas"" electrochemically from CO<sub>2</sub> emitted by power plants. Synthesis gas can be used as a feedstock for the production of industrial chemicals and liquid fuels. The current state-of-the-art process for capturing and removing CO<sub>2</sub> from the flue gas of power plants is expensive and energy intensive, and therefore faces significant hurdles towards widespread implementation. The technologies being developed by Dioxide Materials aim to convert CO<sub>2</sub> into something useful in an economical and practical way. The technology has the potential to create an entirely new industry where waste CO<sub>2</sub>--rather than oil--is used to produce gasoline, diesel fuel, jet fuel, and industrial chemicals.

",Resource Efficiency, ,?q=slick-sheet-project/converting-co2-fuel-and-chemicals,Dioxide Materials
157,Donald Danforth Plant Science Center,Augmented Reality GUI for Bioenergy Crop Phenotyping and Precision Agriculture,OPEN 2018,09/24/2019,12/23/2021,ACTIVE,Missour,"In the last decade, big data has enabled high-yield production of bioenergy crops. The drawback in agricultural systems data is that researchers are grappling with large, complex, multidimensional datasets comprised of thousands of data layers captured weekly or daily in dynamic outdoor environments. Converting all of these measurements into knowledge and actionable outcomes that keeps up with farmer and researcher demand is difficult. Tools that can automatically detect patterns in this data are needed to guide agricultural researchers to better inform experimental design and data analysis.
",Transportation Fuels, ,?q=slick-sheet-project/augmented-reality-gui-bioenergy-crop-phenotyping-and-precision-agriculture,Donald Danforth Plant Science Center
158,Donald Danforth Plant Science Center,Improved Light Utilization in Camelin,PETRO,01/01/2012,12/31/2016,ALUMNI,Missour,"The Donald Danforth Plant Science Center will optimize light utilization in Camelina, a drought-resistant, cold-tolerant oilseed crop. The team is modifying how Camelina collects sunlight, engineering its topmost leaves to be lighter in color so sunlight can more easily reflect onto lower parts of the plant. A more uniform distribution of light would improve the efficiency of photosynthesis. Combined with other strategies to produce more oil in the seed, Camelina would yield more oil per plant. The team is also working to allow Camelina to absorb carbon dioxide (CO<sub>2</sub>) more efficiently, providing more carbon input for oil production. The goal is to improve light utilization and oil production to the point where Camelina produces enough fuel precursors per acre to compete with other fuels.
",Transportation Fuels, ,?q=slick-sheet-project/improved-light-utilization-camelina,Donald Danforth Plant Science Center
161,Duke University,Advanced Spectrometer for Methane Detection,MONITOR,05/14/2015,11/13/2019,ALUMNI,North Carolina,"Duke University, in conjunction with its partners, will build a coded aperture miniature mass spectrometer environmental sensor (CAMMS-ES) for use in a methane monitoring system. The team will also develop search, location, and characterization algorithms. Duke will apply its recent innovations in mass spectrometers to increase the throughput of the spectrometer, providing continuous sampling without diminishing its resolution by integrating spatially coded apertures and corresponding reconstruction algorithms. The coded aperture will also provide advanced specificity and sensitivity for methane detection and other volatile organic compounds (VOCs) associated with natural gas production. Duke's innovations could provide low-cost, advanced sensors to localize and characterize methane and VOC emissions, helping to accelerate detection and mitigation of methane and VOC emissions at natural gas sites.

",Resource Efficiency, ,?q=slick-sheet-project/advanced-spectrometer-methane-detection,Duke University
164,Eaton Corporation,Ultra-Efficient Intelligent MVDC Hybrid Circuit Breaker,BREAKERS,09/05/2019,09/04/2022,ACTIVE,Ohio,"Eaton will build an ultra-high efficiency, medium voltage direct current (MVDC), electro-mechanical/solid-state hybrid circuit breaker (HCB) that offers both low conduction losses and fast response times. The team will also develop a high-speed actuator/vacuum switch (HSVS) combined with a novel transient commutation current injector (TCCI). This switch will transfer power to a separate solid-state device, interrupting the current in the event of a fault. The design should allow for scaling in voltage and current, enabling a range of circuit breakers across the MV application space.

","/div></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term: </div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2019-09-05T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">09/05/2019</span> to <span class=""date-display-end"" content=""2022-09-04T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">09/04/2022</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status: </div><div class=""field-items""><div class=""field-item even"">ACTIVE</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State: </div><div class=""field-items""><div class=""field-item even"">Ohio</div></div></div></div>
</div", ,?q=slick-sheet-project/ultra-efficient-intelligent-mvdc-hybrid-circuit-breaker,Eaton Corporation
165,Eaton Corporation,Liquid-Piston Isothermal Home Natural Gas Compressor,MOVE,01/01/2013,12/31/2015,ALUMNI,Ohio,"Eaton is developing an at-home natural gas refueling system that relies on a liquid piston to compress natural gas. A traditional compressor uses an electric motor to rotate a crankshaft, which is tied to several metal pistons that pump to compress gas. Traditional compressor systems can be inefficient and their complex components make them expensive to manufacture, difficult to maintain, and short-lived. Eaton's system replaces traditional pistons with a liquid that comes into direct contact with the natural gas without the need for the costly high-pressure piston seals that are used in conventional gas compression.
",Transportation Storage, ,?q=slick-sheet-project/liquid-piston-isothermal-home-natural-gas-compressor,Eaton Corporation
166,Eaton Corporation,Advanced Battery Management for Hybrid Vehicles,AMPED,01/01/2013,03/31/2016,ALUMNI,Ohio,"Eaton is developing advanced battery and vehicle systems models that will enable fast, accurate estimation of battery health and remaining life. The batteries used in hybrid vehicles are highly complex and require advanced management systems to maximize their performance. Eaton's battery models will be coupled with hybrid powertrain control and power management systems of the vehicle enabling a broader, more comprehensive vehicle management system for better optimization of battery life and fuel economy. Their design would reduce the sticker price of commercial hybrid vehicles, making them cost-competitive with non-hybrid vehicles.

","v></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term: </div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2013-01-01T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">01/01/2013</span> to <span class=""date-display-end"" content=""2016-03-31T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">03/31/2016</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status: </div><div class=""field-items""><div class=""field-item even"">ALUMNI</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State: </div><div class=""field-items""><div class=""field-item even"">Ohio</div></div></div></div>
</div", ,?q=slick-sheet-project/advanced-battery-management-hybrid-vehicles,Eaton Corporation
167,Eaton Corporation ,Cloud-Based DER Control,NODES,09/01/2016,08/31/2020,CANCELLED,Ohio,"Eaton will develop and validate a disruptive cloud-computing-based technology aimed at providing agile and robust synthetic regulating reserve services to the power grid. This approach separates the decision-making of synthetic regulating reserve services into two-levels to significantly reduce the computational complexity, thereby enabling large-scale coordinated control of a vast number of DERs and flexible load. The system-operator level estimates and predicts reserve capacity of the distribution network and decides on the appropriate economic incentives for DERs to participate in future services. At the local level, an energy node comprised of a cluster of DERs and flexible loads will automatically decide its own reserve services strategy that takes into account short-term net load and economic incentives. By splitting these decisions between the two levels, the solution does not require extensive communication or negotiation between the local DERs and the system operators in the cloud.

",Grid, ,?q=slick-sheet-project/cloud-based-der-control,Eaton Corporation
188,Ford Motor Company,Low Pressure Material-Based Natural Gas Fuel System,MOVE,09/17/2012,03/31/2015,CANCELLED,Michigan,"ARPA-E and Ford Motor Company agreed to mutually conclude this project. Ford is developing an on-board adsorbed natural gas tank system with a high-surface-area framework material that would increase the energy density of compressed natural gas at low pressures. Traditional natural gas tanks attempt to compensate for low-energy-density and limited driving range by storing compressed gas at high pressures, requiring expensive pressure vessels. Ford and their project partners will optimize advanced porous material within a system to reduce the pressure of on-board tanks while delivering the customer expected driving range. This porous material allows more gas to be stored inside a tank by utilizing a surface energy attraction to the natural gas. These materials would be efficiently and cost-effectively integrated into a natural gas vehicle system that will promote and contribute to the widespread use of natural gas vehicles.
",Transportation Storage, ,?q=slick-sheet-project/low-pressure-material-based-natural-gas-fuel-system,Ford Motor Company
191,Foro Energy,High Power Laser Decommissioning Tool,OPEN 2018,08/01/2019,07/31/2021,ACTIVE,Colorado,"Foro Energy will develop a high-power laser tool to assist in removing the extremely tough materials constituting aging energy assets in a timely, cost-effective, safe, and environmentally responsible manner. This cutting and melting tool will be capable of transmitting high-power laser light at long distances in a field environment, greatly boosting decommissioning efficiency.
",Generation, ,?q=slick-sheet-project/high-power-laser-decommissioning-tool,Foro Energy
193,FuelCell Energy,Protonic Ceramics for Ammoni,REFUEL,05/22/2017,11/21/2020,ACTIVE,Connecticut,"FuelCell Energy will develop an advanced solid oxide fuel cell system capable of generating ammonia from nitrogen and water, and renewable electricity. The unique design will also allow the system to operate in reverse, by converting ammonia and oxygen from air into electricity. A key innovation in this project is the integration of proton-conducting ceramic membranes with new electride catalyst supports to enable an increase in the rate of ammonia production. Combining their catalyst with a calcium-aluminate electride support increases the rate of ammonia formation by reducing coverage of the catalyst surface by hydrogen and allowing the nitrogen to use all of the catalyst area for reactions. The modular nature of this system allows for its deployment closer to the point of use at agricultural and industrial sites, working to both produce ammonia for immediate or delayed use and to use the ammonia to generate electricity after it has been transported to population centers.

",Transportation Fuels, ,?q=slick-sheet-project/protonic-ceramics-ammonia,FuelCell Energy
194,FuelCell Energy,Liquid Fuels and Electricity from Intermediate-Temperature Fuel Cells,REBELS,10/01/2014,09/30/2017,CANCELLED,Connecticut,"FuelCell Energy will develop an intermediate-temperature fuel cell that will directly convert methane to methanol and other liquid fuels using advanced metal catalysts. Existing fuel cell technologies typically convert chemical energy from hydrogen into electricity during a chemical reaction with oxygen or some other agent. FuelCell Energy's cell would create liquid fuel from natural gas. Their advanced catalysts are optimized to improve the yield and selectivity of methane-to-methanol reactions; this efficiency provides the ability to run a fuel cell on methane instead of hydrogen. In addition, FuelCell Energy will utilize a new reactive spray deposition technique that can be employed to manufacture their fuel cell in a continuous process. The combination of these advanced catalysts and advanced manufacturing techniques will reduce overall system-level costs.
",Distributed Energy Resources, ,?q=slick-sheet-project/liquid-fuels-and-electricity-intermediate-temperature-fuel-cells,FuelCell Energy
196,Gas Technology Institute (GTI),Adsorbent Materials for Natural Gas Storage,MOVE,01/01/2013,12/31/2014,ALUMNI,Illinois,"Gas Technology Institute (GTI) is developing a natural gas tank for light-duty vehicles that features a thin, tailored shell containing microscopic valves which open and close on demand to manage pressure within the tank. Traditional natural gas storage tanks are thick and heavy, which makes them expensive to manufacture. GTI's tank design uses unique adsorbent pellets with nano-scale pores surrounded by a coating that functions as valves to help manage the pressure of the gas and facilitate more efficient storage and transportation. GTI's low-pressure tanks would have thinner walls than today's best alternatives, resulting in a lighter, more affordable product with increased storage capacity.
",Transportation Storage, ,?q=slick-sheet-project/adsorbent-materials-natural-gas-storage,Gas Technology Institute (GTI)
197,Gas Technology Institute (GTI),Low-Pressure Conformable Natural Gas Vehicle Tank,MOVE,10/01/2012,03/31/2014,ALUMNI,Illinois,"Gas Technology Institute (GTI) will partner with Northwestern University, NuMat Technologies, a Northwestern start-up company, and Westport Fuel Systems to identify materials with the best characteristics for low-pressure natural gas storage. The gas-storing materials, known as metal organic framework (MOF) adsorbents, hold natural gas the way a sponge holds liquids. The project team will further develop their computer modeling and screening technique to support the creation of a low-pressure adsorbent material specifically designed for natural gas vehicles. The team will also validate the materials properties in real-world conditions. Low-pressure gas tanks represent significant potential for lowering not only the cost of NGVs, but also the cost of fueling by reducing the need to compress the gas.
",Transportation Storage, ,?q=slick-sheet-project/low-pressure-conformable-natural-gas-vehicle-tank,Gas Technology Institute (GTI)
198,Gas Technology Institute (GTI),Double-Reflector Hybrid Solar Energy System,FOCUS,05/13/2014,01/31/2018,ALUMNI,Illinois,"Gas Technology Institute (GTI) is developing a hybrid solar converter that focuses sunlight onto solar cells with a reflective backside mirror. These solar cells convert most visible wavelengths of sunlight to electricity while reflecting the unused wavelengths to heat a stream of flowing particles. The particles are used to store the heat for use immediately or at a later time to drive a turbine and produce electricity. GTI's design integrates the parabolic trough mirrors, commonly used in CSP plants, into a dual-mirror system that captures the full solar spectrum while storing heat to dispatch electricity when the sun does not shine. Current solar cell technologies capture limited portions of the solar spectrum to generate electricity that must be used immediately. By using back-reflecting gallium arsenide (GaAs) cells, this hybrid converter is able to generate both electricity from specific solar wavelengths and capture the unused light as heat in the flowing particles. The particle-based heat storage system is a departure from standard fluid-based heat storage approaches and could enable much more efficient and higher energy density heat storage.  GTI's converter could be used to provide solar electricity whether or not the sun is shining.
",Distributed Energy Resources, ,?q=slick-sheet-project/double-reflector-hybrid-solar-energy-system,Gas Technology Institute (GTI)
199,Gas Technology Institute (GTI),Efficient Natural Gas-to-Methanol Conversion,OPEN 2012,01/01/2013,09/30/2015,ALUMNI,Illinois,"Gas Technology Institute (GTI) is developing a new process to convert natural gas or methane-containing gas into methanol and hydrogen for liquid fuel. Methanol serves as the main feedstock for dimethyl ether, which could be used for vehicular fuel. Unfortunately, current methods to produce liquid fuels from natural gas require large and expensive facilities that use significant amounts of energy. GTI's process uses metal oxide catalysts that are continuously regenerated in a reactor, similar to a battery, to convert the methane into methanol. These metal oxide catalysts reduce the energy required during the conversion process. This process operates at room temperature, is more energy efficient, and less capital-intensive than existing methods.
",Transportation Fuels, ,?q=slick-sheet-project/efficient-natural-gas-methanol-conversion,Gas Technology Institute (GTI)
200,Gas Technology Institute (GTI),Dimethyl Ether Synthesis from Renewables,REFUEL,06/01/2017,11/30/2020,ACTIVE,Illinois,"Gas Technology Institute (GTI) will develop a process for producing dimethyl ether (DME) from renewable electricity, air, and water. DME is a clean-burning fuel that is easily transported as a liquid and can be used as a drop-in fuel in internal combustion engines or directly in DME fuel cells. Ultimately carbon dioxide (CO<sub>2</sub>) would be captured from sustainable sources, such as biogas production, and fed into a reactor with hydrogen generated from high temperature water splitting. The CO<sub>2</sub> and hydrogen react on a bifunctional catalyst to form methanol and a subsequently DME. To improve conversion to DME, GTI will use a novel catalytic membrane reactor with a zeolite membrane. This reactor improves product yield by shifting thermodynamic equilibrium towards product formation and decreases catalyst deactivation and kinetic inhibition due to water formation. The final DME product is separated and the unreacted chemicals are recycled back to the catalytic reactor. Each component of the process is modular, compact, and requires no additional inputs aside from water, CO<sub>2</sub>, and electricity, while the entire system is designed from the ground up to be compatible with intermittent renewable energy sources.
",Transportation Fuels, ,?q=slick-sheet-project/dimethyl-ether-synthesis-renewables,Gas Technology Institute (GTI)
201,Gas Technology Institute (GTI) ,Methane Soft Oxidation,IDEAS,09/07/2016,09/30/2017,ALUMNI,Illinois,"Gas Technology Institute (GTI) will develop a sulfur-based methane oxidation process, known as soft oxidation, to convert methane into liquid fuels and chemicals. Current gas-to-liquid technology for converting methane to liquid hydrocarbons requires massive scale to achieve economic production. The large plant size makes this approach unsuitable to address the challenge of distributed methane emissions. Soft oxidation is a method better suited to address this challenge because of its modular nature. It also addresses a major limitation of conventional gas-to-liquid technology: the irreversible conversion of methane and oxygen to carbon dioxide. In this project, GTI will demonstrate and optimize a two-step methane soft oxidation process and develop a fully integrated system that converts methane to liquid hydrocarbons, recovers the valuable liquids and hydrogen gas, and recycles the remaining products. A key difference with traditional oxygen-based approaches is that GTI's method allows for some hydrogen recovery, whereas in oxygen-based approaches the hydrogen must be consumed completely. Soft oxidation has a higher efficiency because of this, and it lacks the need for complex heat integration and recovery methods that require large scale plants. If successful, this new process could provide an economic pathway to significantly reduce methane emissions through on-site conversion.

",Transportation Fuels, ,?q=slick-sheet-project/methane-soft-oxidation,Gas Technology Institute (GTI)
202,Gas Technology Institute (GTI) ,Reactor Engine,OPEN 2015,03/01/2016,02/28/2018,ALUMNI,Illinois,"The team led by Gas Technology Institute (GTI) will develop a conventional automotive engine as a reactor to convert ethane into ethylene by using a new catalyst and reactor design that could enable record-breaking conversion yields. The technology proposed by GTI would use a reciprocating engine as a variable volume oxidative dehydrogenation (ODH) reactor. This means a conventional engine would be modified with a new valving mechanism that would take advantage of high flow rates and high pressure and temperature regime that already exists in an internal combustion engine. This process requires no energy input, does produce minimal CO2 emissions, and improves yields to about 80% at one third the cost. The ODH reactor engine's relatively small size and high throughput will enable ethylene producers to add ethylene production capacity without the financial risk of building a billion-dollar steam cracking plant. This technology will reduce energy-related emissions and could enable the U.S. plastics industry to increase utilization of low-cost, domestic ethane to produce ethylene for plastics.

",Manufacturing Efficiency, ,?q=slick-sheet-project/reactor-engine,Gas Technology Institute (GTI)
206,GeneSiC Semiconductor,Novel Gallium Nitride Transistors,IDEAS,12/20/2016,09/19/2018,ALUMNI,Virginia,"GeneSiC Semiconductor will lead a team to develop high-power and voltage (1200V) vertical transistors on free-standing gallium nitride (GaN) substrates. Bipolar junction transistors amplify or switch electrical current. NPN junction transistors are one class of these transistors consisting of a layer of p-type semiconductor between two n-type semiconductors. The output electrical current between two terminals is controlled by applying a small input current at the third terminal. The proposed effort combines the latest innovations in device designs/process technology, bulk GaN substrate technology, and innovative metal-organic chemical vapor deposition epitaxial growth techniques. If the proposed design concept is successful, it will enable three-fold improvement of power density in high voltage devices, and provide a low-cost solution for mass market power conversion. Moreover, the device can be processed with significantly lower process complexity and cost, as compared to competing silicon carbide and GaN device technologies. GeneSiC will focus on all device development tasks while its partner, Adroit Materials, will focus on the GaN epitaxial growth on bulk GaN substrates, as well as detailed materials characterization according to specifications generated by GeneSiC.

",Electrical Efficiency, ,?q=slick-sheet-project/novel-gallium-nitride-transistors,GeneSiC Semiconductor
208,General Atomics,Soluble Lead Flow Battery,GRIDS,09/01/2010,08/28/2013,ALUMNI,California,"General Atomics is developing a flow battery technology based on chemistry similar to that used in the traditional lead-acid battery found in nearly every car on the road today. Flow batteries store energy in chemicals that are held in tanks outside the battery. When the energy is needed, the chemicals are pumped through the battery. Using the same basic chemistry as a traditional battery but storing its energy outside of the cell allows for the use of very low-cost materials. The goal is to develop a system that is far more durable than today's lead-acid batteries, can be scaled to deliver megawatts of power, and which lowers the cost of energy storage below $100 per kilowatt hour.
",Storage, ,?q=slick-sheet-project/soluble-lead-flow-battery,General Atomics
211,General Electric (GE) Global Research,Ultra Performance Heat Exchanger Enabled by Additive Technology (UPHEAT),HITEMMP,07/22/2019,01/21/2022,ACTIVE,Connecticut,"The GE-led team will develop a metallic-based, ultra-performance heat exchanger enabled by additive manufacturing technology and capable of operation at 900°C (1652°F) and 250 bar (3626 psi). The team will optimize heat transfer versus thermomechanical load using new micro-trifurcating core structures and manifold designs. The team will leverage a novel, high-temperature capable, crack-resistant nickel superalloy, designed specifically for additive manufacturing. When completed, the heat exchanger could enable increased thermal efficiency of indirect heated power cycles such as supercritical carbon dioxide (sCO<sub>2</sub>) Brayton power generation, reducing energy consumption and emissions.

",Generation, ,?q=slick-sheet-project/ultra-performance-heat-exchanger-enabled-additive-technology-upheat,General Electric (GE) Global Research
212,General Electric (GE) Global Research,Inline Gas Discharge Tube Breaker for Meshed MVDC Grids,BREAKERS,08/02/2019,08/01/2022,ACTIVE,Connecticut,"GE Research will develop a medium voltage direct current (MVDC) circuit breaker using gas discharge tubes (GDTs) with exceptionally fast response time. GDTs switch using no mechanical motion by transitioning the internal gas between its ordinary insulating state and a highly conductive plasma state. The team will develop a new cathode and control grid to reduce power loss during normal operation and meet program performance and efficiency targets. A fast MVDC breaker is an important component in uprating existing AC distribution corridors in congested urban areas to MVDC, and connecting distributed renewable energy sources to a growing number of high-power applications.

","/div></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term: </div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2019-08-02T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">08/02/2019</span> to <span class=""date-display-end"" content=""2022-08-01T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">08/01/2022</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status: </div><div class=""field-items""><div class=""field-item even"">ACTIVE</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State: </div><div class=""field-items""><div class=""field-item even"">Connecticut</div></div></div></div>
</div", ,?q=slick-sheet-project/inline-gas-discharge-tube-breaker-meshed-mvdc-grids,General Electric (GE) Global Research
213,General Electric (GE) Global Research,Connecting Renewables Directly to the Grid,GENI,01/23/2012,01/22/2015,ALUMNI,Connecticut,"General Electric (GE) Global Research is developing electricity transmission hardware that could connect distributed renewable energy sources, like wind farms, directly to the grid--eliminating the need to feed the energy generated through intermediate power conversion stations before they enter the grid. GE is using the advanced semiconductor material silicon carbide (SiC) to conduct electricity through its transmission hardware because SiC can operate at higher voltage levels than semiconductors made out of other materials. This high-voltage capability is important because electricity must be converted to high-voltage levels before it can be sent along the grid's network of transmission lines. Power companies do this because less electricity is lost along the lines when the voltage is high.
",Electrical Efficiency, ,?q=slick-sheet-project/connecting-renewables-directly-grid,General Electric (GE) Global Research
214,General Electric (GE) Global Research,Cost-Effective Cable Insulation,GENI,02/24/2012,05/31/2014,ALUMNI,Connecticut,"General Electric (GE) Global Research is developing new, low-cost insulation for high-voltage direct current (HVDC) electricity transmission cables. The current material used to insulate HVDC transmission cables is very expensive and can account for as much as 1/3 of the total cost of a high-voltage transmission system. GE is embedding nanomaterials into specialty rubber to create its insulation. Not only are these materials less expensive than those used in conventional HVDC insulation, but also they will help suppress excess charge accumulation. The excess charge left behind on a cable poses a major challenge for high-voltage insulation--if it is not kept to a low level, it could ultimately lead the insulation to fail. GE's low-cost insulation is compatible with existing U.S. cable manufacturing processes, further enhancing its cost effectiveness.
",Grid, ,?q=slick-sheet-project/cost-effective-cable-insulation,General Electric (GE) Global Research
215,General Electric (GE) Global Research,Thin-Film Temperature Sensors for Batteries,AMPED,01/01/2013,12/31/2016,ALUMNI,Connecticut,"General Electric (GE) Global Research is developing low-cost, thin-film sensors that enable real-time mapping of temperature and surface pressure for each cell within a battery pack, which could help predict how and when batteries begin to fail. The thermal sensors within today's best battery packs are thick, expensive, and incapable of precisely assessing important factors like temperature and pressure within their cells. In comparison to today's best systems, GE's design would provide temperature and pressure measurements using smaller, more affordable sensors than those used in today's measurement systems. Ultimately, GE's sensors could dramatically improve the thermal mapping and pressure measurement capabilities of battery management systems, allowing for better prediction of potential battery failures.

","v></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term: </div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2013-01-01T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">01/01/2013</span> to <span class=""date-display-end"" content=""2016-12-31T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">12/31/2016</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status: </div><div class=""field-items""><div class=""field-item even"">ALUMNI</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State: </div><div class=""field-items""><div class=""field-item even"">Connecticut</div></div></div></div>
</div", ,?q=slick-sheet-project/thin-film-temperature-sensors-batteries,General Electric (GE) Global Research
