,Unnamed: 0,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount
137,137,SixPoint Materials,"SixPoint Materials will create low-cost, high-quality vertical gallium nitride (GaN) substrates for use in high-power electronic devices. In its two-phase project, SixPoint Materials will first focus on developing a high-quality GaN substrate and then on expanding the substrate's size. Substrates are thin wafers of semiconducting material used to power devices like transistors and integrated circuits. SixPoint Materials will use a two-phase production approach that employs both hydride vapor phase epitaxy technology and ammonothermal growth techniques to create its high-quality, low-cost GaN substrates.
",6/28/2019,SWITCHES,ACTIVE,?q=slick-sheet-project/vertical-gan-substrates,3/10/2014,California,Vertical GaN Substrates,Electrical Efficiency, ,2524999
138,138,Southwest Research Institute (SwRI),"Southwest Research Institute (SwRI) will develop control strategies and technology to improve the energy efficiency of a 2017 Toyota Prius Prime plug-in hybrid electric vehicle through energy-conscious path planning and powertrain control. The team will modify the vehicle to take advantage of connected, autonomous vehicle information streams and develop systems that co-optimize the control of vehicle speed and engine power to minimize energy consumption, maintain safety, and deliver expected performance. Modern automobiles are designed to provide the maximum possible performance to the driver in terms of response time and acceleration. Because of this, manufacturers design engines for all possible scenarios a driver may encounter - often conflicting with efficiency needs. The SwRI team will approach this problem by augmenting the vehicle with the necessary hardware for V2V and V2I connectivity along-with leveraging the production Dynamic Radar Cruise Control (DRCC) feature of the vehicle. GPS will work with cellular data to optimize planned driving routes. Eco-approach and departure will work with traffic signals at intersections to optimize vehicle braking and acceleration for improving energy efficiency. Plug-in hybrid electric vehicles are capable of charge-depleting, and charge-sustaining modes, or combination of these two modes depending on how much the vehicle uses the electric battery or the internal combustion engine. The team will develop control algorithms that will use the new information streams to optimize the battery state of charge for both overall trip efficiency and for driving power. Vehicle testing will occur in two phases. First, it will provide the driver with information about the next plug-in opportunity and suggested route and speed profiles. Next, the project will take advantage of DRCC to fully automate longitudinal control including regulating speed and ensuring safe operation by maintaining adequate spacing between vehicles.

",6/29/2020,NEXTCAR,ACTIVE,?q=slick-sheet-project/vehicle-model-predictive-control,6/30/2017,Texas,Vehicle Model Predictive Control,Transportation Vehicles, ,2899934
139,139,Stanford University,"Stanford University will develop a new process to produce furan-2,5-dicarboxylic acid (FDCA), a potential replacement for purified terephthalic acid (PTA). PTA is produced from petroleum on the scale of 60 million tons per year and used to make synthetic polymers like polyester. The production of PTA is associated with 90 million tons of greenhouse gas emissions annually. FDCA, on the other hand, can be made from biomass and its polymers boast superior physical properties for high-volume applications such as beverage bottles. Current technologies produce FDCA from food sources (fructose) and have not demonstrated economic competitiveness with PTA. The Stanford technology produces FDCA from CO<sub>2</sub> and furfural, a feedstock chemical produced industrially from waste biomass. The use of CO<sub>2</sub> avoids challenging oxidation reactions required for fructose-based syntheses, which provides a potential advantage for commercial production. Packed-bed reactors utilizing the technology have achieved high FDCA yields but require reaction times that are too long for industrial application. This project will transition the process to a fluidized bed reactor, where reactants are suspended in flowing CO<sub>2</sub>, to achieve industrially viable synthesis rates. If optimized, the process could enable the production of FDCA with negative greenhouse gas emissions.

",6/30/2019,IDEAS,ACTIVE,?q=slick-sheet-project/co2-commodity-polymer-synthesis,7/1/2018,California,CO2 for Commodity Polymer Synthesis,Manufacturing Efficiency, ,406967
140,140,Stanford University,"Stanford University will develop Powernet, an open-source and open architecture platform for scalable and secure coordination of consumer flexible load and DERs. Powernet will be based on the principle of connecting information networks to the power network (connecting bits and watts). It uses a layered architecture that enables real-time coordination of centralized resources with millions of DERs by integrating embedded sensing and computing, power electronics, and networking with cloud computing. The team will develop a Home Hub system capable of networking with existing inverters and appliances in a home and controlling power via smart switches that replace traditional fuses. The Home Hub will also use algorithms for aggregating local customer resources to meet local constraints and global coordination objectives. A cloud-based cloud coordinator platform will be developed that executes optimization and monitoring functions to coordinate Home Hubs by minimizing costs while increasing aggregate consumer quality-of-service.<br/>
",7/26/2019,NODES,ACTIVE,?q=slick-sheet-project/distributed-energy-resource-networks,7/27/2016,California,Distributed Energy Resource Networks,Grid, ,4032498
141,141,Stanford University,"Stanford University will develop a non-contact root imaging system that uses a hybrid of microwave excitation and ultrasound detection. Microwave excitation from the surface can penetrate the soil to the roots, and results in minor heating of the roots and soil at varying levels depending on their physical properties. This heating creates a thermoacoustic signal in the ultrasound domain that travels back out of the soil. The team's advanced ultrasound detector has the ability to detect these signals and maintain sufficient signal-to-noise ratio for imaging and root biomass analysis. The team will develop a suite of image processing algorithms to convert the data into an understanding of root properties including structure, biomass density, and depth. Plant physiologists from the Carnegie Institution for Science will partner with Stanford to characterize maize roots under various drought conditions as well as soil type and density variations. Since the entire system is non-contact, it eliminates the need to make good physical contact with the irregular soil surfaces. Over a three-year period, the team will first demonstrate the feasibility of non-contact thermoacoustics for root imaging under laboratory conditions, then develop and test a thermoacoustic system in the field.  If successful, Stanford's system could examine root structures in a noninvasive manner that produces images far more advanced than current imaging methods.

",8/6/2020,ROOTS,ACTIVE,?q=slick-sheet-project/thermoacoustic-root-imaging,8/7/2017,California,Thermoacoustic Root Imaging,Transportation Fuels, ,2000000
142,142,Starfire Energy,"The team led by Starfire Energy will develop a modular, small-scale, HB-type process for ammonia synthesis. The team's innovative approach is less energy-intensive and more economical than conventional, large-scale HB because a novel electroactive catalyst allows operation at lower temperatures and pressures. Their approach combines a high-activity precious metal catalyst and an electroactive catalyst support to form ammonia molecules, while operating at moderate pressures and using localized high-temperature reaction zones. The extreme reaction conditions in conventional HB require that the process runs continuously, as turning on and off would require bringing the reactor back up to synthesis temperature. Since Starfire's process is smaller scale, it does not require continuous energy input and therefore could be compatible with intermittent energy sources, setting it on a path to be carbon-neutral.

",5/28/2019,OPEN 2015,ACTIVE,?q=slick-sheet-project/efficient-ammonia-production,3/1/2016,Colorado,Efficient Ammonia Production,Transportation Fuels, ,1874691
143,143,Stony Brook University,"el-panel panel-col-middle"">
<div class=""inside"">
",9/12/2021,MEITNER,ACTIVE,?q=slick-sheet-project/more-information-stony-brooks-project-coming-soon-0,3/13/2019,New York,More information on Stony Brook's project is coming soon!,"div></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term:?</div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2019-03-13T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">03/13/2019</span> to <span class=""date-display-end"" content=""2021-09-12T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">09/12/2021</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status:?</div><div class=""field-items""><div class=""field-item even"">ACTIVE</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State:?</div><div class=""field-items""><div class=""field-item even"">New York</div></div></div></div>
</div", ,2350000
144,144,Sunpower ,"Sunpower, in partnership with Aerojet Rocketdyne and Precision Combustion Inc. (PCI), proposes a high-frequency, high efficiency 1 kW free-piston Stirling engine (FPSE). A Stirling engine uses a working gas such as helium, which is housed in a sealed environment. When heated by the natural gas-fueled burner, the gas expands causing a piston to move and interact with a linear alternator to produce electricity. As the gas cools and contracts, the process resets before repeating again. Advanced Stirling engines endeavor to carefully manage heat inside the system to make the most efficient use of the natural gas energy. New innovations from this team include the highly efficient and high frequency design which reduces size and cost and can be wall mounted. The heater-head assembly acts as the heat exchanger between the burner and the enclosed working gas, and the higher temperature allows for greater efficiency. Aerojet Rocketdyne will assist this effort by developing high temperature materials to use in this process, while PCI will add a novel catalytically-assisted, two-stage, burner to maximize heat transfer to the heater-head.
",12/31/2019,GENSETS,ACTIVE,?q=slick-sheet-project/free-piston-stirling-engine-based-1kw-generator,12/1/2015,Ohio,Free Piston Stirling Engine Based 1kW Generator,Distributed Generation, ,4690356
145,145,Swarthmore College,"Swarthmore College, along with its partner Bryn Mawr College, will investigate a new kind of plasma fusion target that may offer improved stability at low cost and relatively low energy input. The research team will design and develop new modules that accelerate and evolve plasmas to create elongated structures known as Taylor states, which have helical magnetic field lines resembling a rope. These Taylor state structures exhibit interesting and potentially very beneficial properties upon compression, and could be used as a fusion target if they are able to maintain their temperatures and stability long enough to be compressed to fusion conditions. The new plasma-forming modules will be tested using the team's existing Swarthmore Spheromak Experiment device (SSX), which has an advanced diagnostic suite and the capability to perform 100 experiments per day. This ability will enable rapid progress in understanding the behavior of these plasma plumes and illuminate their potential for use as new targets in the pursuit of fusion reactors.
",7/31/2019,ALPHA,ACTIVE,?q=slick-sheet-project/plasma-accelerator-ssx,9/28/2015,Pennsylvania,Plasma Accelerator on the SSX,Centralized Generation, ,598177
146,146,Switched Source,"Switched Source will develop a power-electronics based hardware solution to fortify electric distribution systems, with the goal of delivering cost-effective infrastructure retrofits to match rapid advancements in energy generation and consumption. The company's power flow controller will improve capabilities for routing electricity between neighboring distribution circuit feeders, so that grid operators can utilize the system as a more secure, reliable, and efficient networked platform. The topology the team is incorporating into its controller will eliminate the need for separate heavy and expensive transformers, as well as the costly construction of new distribution lines and substations in many cases. The power flow controller's low weight and small size means that it can be installed anywhere in the existing grid to optimize energy distribution and help reduce congestion. If successful, implementation of Switched Source's power flow controller will also significantly increase hosting capacity and connectivity for distributed renewable generation.  During a prior ARPA-E GENI award, this team developed this platform technology. Now, as an addition to the ARPA-E CIRCUITS program, the team will further its research.

",9/28/2019,CIRCUITS,ACTIVE,?q=slick-sheet-project/unified-power-flow-controller,9/29/2017,Illinois,Unified Power Flow Controller,Grid, ,1855643
147,147,Syracuse University,"Syracuse University will develop a sensor unit to detect occupancy in residential homes called MicroCam. The MicroCam system will be equipped with a very low-resolution camera sensor, a low-resolution infrared array sensor, a microphone, and a low-power embedded processor. These tools allow the system to measure shape/texture from static images, motion from video, and audio changes from the microphone input. The combination of these modalities can reduce error, since any one modality in isolation may be prone to missed detections or high false alarm rates. Advanced algorithms will translate these multiple data streams into actionable adjustments to home heating and cooling. The algorithms will be implemented locally on the sensor unit for a stand-alone solution not reliant on external computation units or cloud computing. The MicroCam system itself will be wireless and battery-powered (operating for at least 4.5 years on 3 AA or 2 C batteries), and will be designed to be easily installed and self-commissioned.

",5/24/2021,SENSOR,ACTIVE,?q=slick-sheet-project/multi-modal-sensor-platform-occupancy-detection,5/15/2018,New York,Multi-modal Sensor Platform for Occupancy Detection,Building Efficiency, ,1200000
148,148,Syracuse University,"Syracuse University will develop a near-range micro-environmental control system transforming the way office buildings are thermally conditioned to improve occupant comfort. The system leverages a high-performance micro-scroll compressor coupled to a phase-change material, which is a substance with a high latent heat of fusion and the capability to store and release large amounts of heat at a constant temperature. This material will store the cooling produced by the compression system at night, releasing it as a cool breeze of air to make occupants more comfortable during the day. When heating is needed, the system will operate as an efficient heat pump, drawing heat from the phase-change material and delivering warm air to the occupant. The micro-scroll compressor is smaller than any of its type, minimizing the amount of power needed. The use of this micro-environmental control system, along with expanding the set-point range could save more than 15% of the energy used for heating and cooling, while maintaining occupant comfort.

",10/31/2019,DELTA,ACTIVE,?q=slick-sheet-project/micro-environmental-control-system,5/1/2015,New York,Micro-Environmental Control System,Building Efficiency, ,3449963
149,149,Texas A&amp;M AgriLife Research,"Texas A&amp;M AgriLife Research will develop low field magnetic resonance imaging (LF-MRI) instrumentation that can image intact soil-root systems. The system will measure root biomass, architecture, 3D mass distribution, and growth rate, and could be used for selection of ideal plant characteristics based on these root metrics. It will also have the ability to three-dimensionally image soil water content, a key property that drives root growth and exploration. Operating much like a MRI used in a medical setting, the system can function in the field without damaging plants, unlike traditional methods such as trenching, soil coring, and root excavation. The team will test two different approaches: an in-ground system shaped like a cylinder that can be inserted into the soil to surround the roots; and a coil device that can be deployed on the soil surface around the plant stem. If successful, these systems can help scientists better understand the root-water-soil interactions that drive processes such as nutrient uptake by crops, water use, and carbon management. This new information is crucial for the development of plants optimized for carbon sequestration without sacrificing economic yield. The project also aims to help develop ideal energy sorghum possessing high root growth rates, roots with more vertical angles, and roots that are more drought resistant and proliferate under water limiting conditions.

",6/29/2020,ROOTS,ACTIVE,?q=slick-sheet-project/magnetic-resonance-imaging-root-growth,6/30/2017,Texas,Magnetic Resonance Imaging for Root Growth,Transportation Fuels, ,4400000
150,150,Texas A&amp;M Agrilife Research,"Texas A&amp;M AgriLife Research will develop ground penetrating radar (GPR) antenna arrays for 3D root and soil organic carbon imaging and quantification. Visualization of root systems with one mm resolution in soils could enable breeders to select climate-resilient bioenergy crops that provide higher yields, require fewer inputs, improve soil health, and promote carbon sequestration. Texas A&amp;M will create a GPR system that will collect real-time measurements using a deployable robotic platform. The GPR system will collect data comparing annual energy sorghum to perennial species, which have great potential to deposit and store carbon in the soil. Texas A&amp;M's primary focus is to complement the selection of high biomass feedstock crops by providing valuable data about the root architecture. This data could improve understanding of the soil ecosystem and ultimately allow for improved bioenergy crop productivity.

",7/12/2019,OPEN 2015,ACTIVE,?q=slick-sheet-project/radar-bioenergy-crop-imaging,4/13/2016,Texas,Radar for Bioenergy Crop Imaging,Transportation Fuels, ,4600000
151,151,Texas A&amp;M University,"Texas A&amp;M University will develop an advanced, low-cost occupancy detection solution for residential homes. Their system, called SLEEPIR, is based on pyroelectric infrared sensors (PIR) a popular choice for occupancy detection and activity tracking due to their low cost, low energy consumption, large detection range, and wide field of view. However, traditional PIR sensors can only detect individuals in motion. The team proposes a next-generation PIR sensor that is able to detect non-moving heat sources and provide quantitative information on movement. Their innovation relies on the use of an ""optical chopper"" which temporarily interrupts the flow of heat to the sensor and allows the device to detect both stationary and moving individuals. The team will evaluate several approaches for the chopper, such as new low-power liquid crystal technology with no moving parts. They will apply new signal processing techniques and machine learning to the infrared data, enabling differentiation between pets and people and potentially sleep vs. active states. A central hub accepts wireless data from the sensors and overrides the home thermostat as needed to adjust temperatures and provide up to 30% energy savings to the home.

",8/26/2021,SENSOR,ACTIVE,?q=slick-sheet-project/low-energy-pir-sensor-occupancy-detection,8/27/2018,Texas,Low-energy PIR Sensor for Occupancy Detection,Building Efficiency, ,1000000
152,152,Texas Tech University,"el-panel panel-col-middle"">
<div class=""inside"">
",7/15/2019,IDEAS,ACTIVE,?q=slick-sheet-project/more-information-texas-techs-project-coming-soon,6/18/2018,Texas,More information on Texas Tech's project is coming soon!,Distributed Generation, ,499808
153,153,The Boeing Company,"The Boeing Company is developing a next-generation air-cooled heat exchanger by leveraging technological advances in additive manufacturing (AM). The work builds on a previous ARPA-E IDEAS award to the University of Maryland that included the fabrication of geometrically complex heat exchanger coupons. Boeing subsequently demonstrated AM fabrication of thin-walled structures with a thickness of 125 to 150 microns, which represents a 50% reduction relative to then-state-of-the-art AM processes. The high temperature heat exchanger currently under development employs complex internal geometries to achieve an expected 20-30% improvement in thermal performance and up to 20% reduction in weight. Current manufacturing techniques include manual stacking of heat exchangers, brazing in a thermal vacuum chamber, and welding of external features. Each of these manufacturing steps is time consuming, expensive, and may damage the part. A validated AM process for heat exchangers could lead to fabrication cost savings well in excess of 25% by eliminating these steps. If successful, these high performance, lightweight heat exchangers would enable more energy-efficient aircraft. AM can also expand the design space for heat exchangers, enabling advanced designs that conform to challenging form factor requirements. Advances in efficient air-side cooling could also have significant spillover benefits in additional industries such as power plant and distributed energy systems, automotive, air-conditioning and refrigeration, power electronics, and chemical processing.
",6/30/2019,ARID,ACTIVE,?q=slick-sheet-project/additive-manufacturing-heat-exchangers,3/17/2016,Illinois,Additive Manufacturing for Heat Exchangers,Resource Efficiency, ,1793679
154,154,The Ohio State University ,"The Ohio State University will develop and demonstrate a transformational powertrain control technology that uses vehicle connectivity and automated driving capabilities to enhance the energy consumption of a light duty passenger vehicle up-fitted with a mild hybrid system. At the core of the proposed powertrain control technology, is the use of a novel cylinder deactivation strategy called Dynamic Skip Fire which makes instantaneous decisions about which engine cylinders are fired or skipped thus significantly improving vehicle energy efficiency. Connected and automated vehicle technologies will allow route-based optimization of driving. Route terrain information including road slope, curvature, and speed limits will be used to calculate an energy-optimal speed trajectory for the vehicle. Traffic condition information based on V2I communication (such as traffic lights) will be used to further optimize route selection and optimize the vehicle and powertrain control. The vehicle will interact with traffic lights using Dedicated Short Range Communications and will stop and start from intersections using an energy-optimal speed trajectory. The integrated radar/camera sensor and V2V connectivity will be used to determine the immediate traffic around the vehicle. Finally, machine learning algorithms will be used to make intelligent powertrain and vehicle optimization decisions in continuously changing and uncertain environments.

",3/7/2020,NEXTCAR,ACTIVE,?q=slick-sheet-project/engine-cylinder-optimization-connected-vehicles,3/8/2017,Ohio,Engine Cylinder Optimization in Connected Vehicles,Transportation Vehicles, ,4999211
155,155,The Research Foundation for The State University of New York (SUNY),"The Research Foundation for the State University of New York (SUNY), on behalf of SUNY Polytechnic University, will develop innovative doping process technologies for gallium nitride (GaN) vertical power devices to realize the potential of GaN-based devices for future high efficiency, high power applications. SUNY Polytechnic's proposed research will focus on ion implantation to enable the creation of localized doping that is necessary for fabricating GaN vertical power devices. Ion implantation is a doping process used in other semiconductor materials such as Si and GaAs but has been difficult to use in GaN due to the limited ability to perform high temperature heat treatments or anneals needed to activate the implanted dopants and repair the damage caused by implantation. The team will develop new annealing techniques to activate magnesium or silicon implanted in GaN to build p-n junctions, the principal building block of modern electronic components like transistors. High temperature anneals will be performed using an innovative gyrotron beam technique (a high-power vacuum tube that generates millimeter-length electromagnetic waves) and an aluminum nitride cap. Central to the team's project is understanding the impact of implantation on the microstructural properties of the GaN material and effects on performance.

",1/7/2020,PNDIODES,ACTIVE,?q=slick-sheet-project/pn-junctions-ion-implantation,9/13/2017,New York,PN-Junctions by Ion Implantation,Electrical Efficiency, ,720000
156,156,The Research Foundation for the State University of New York (SUNY),"The University at Buffalo, the State University of New York (SUNY) will develop seismic protective systems to safeguard essential and safety-class components inside nuclear power plants. Currently, these systems and components are custom-produced for each new plant, with multiple designs often needed for a given plant. Earthquake considerations may add up to 35% to the overnight capital cost for new plant designs in regions of moderate to high seismic hazard. This project will develop and implement modular systems to protect individual components from earthquake shaking effects. Because the systems can be implemented independent of reactor type, they will simplify plant design, facilitate economical reactor construction in regions of moderate and high seismic hazard, and enable efficient seismic protection of safety-grade equipment in reactor buildings. By focusing seismic protection on components that require it, the approach can facilitate reduced thickness of walls and slabs in other parts of the plant, further saving construction time and costs.

",3/16/2021,MEITNER,ACTIVE,?q=slick-sheet-project/reducing-overnight-capital-cost-advanced-reactors,9/13/2018,New York,Reducing Overnight Capital Cost of Advanced Reactors,Centralized Generation, ,1443635
157,157,The State University of New York (SUNY) at Stony Brook,"el-panel panel-col-middle"">
<div class=""inside"">
",12/4/2020,INTEGRATE,ACTIVE,?q=slick-sheet-project/more-information-stony-brooks-project-coming-soon,9/5/2018,New York,More information on Stony Brook's project is coming soon!,Distributed Generation, ,2322236
158,158,Tour Engine,"Tour Engine, in collaboration with Wisconsin Engine Research Consultants (WERC) will develop a miniature internal combustion engine (ICE) based on Tour's existing split-cycle engine technology. Traditional ICEs use the force generated by the combustion of a fuel (e.g. natural gas (NG)) to move a piston, transferring chemical energy to mechanical energy. This can then be used in conjunction with a generator to create electricity. Unlike a normal combustion engine, a split-cycle engine divides the process into a cold cylinder (intake and compression) and a hot cylinder (expansion and exhaust). This allows for independent optimization of the compression and expansion ratios, leading to increased thermal efficiency. A novel Spool Shuttle Crossover Valve (SSCV) is the key enabler for the Tour engine, as it transfers the fuel/air charge from the cold to hot cylinder.
",9/30/2019,GENSETS,ACTIVE,?q=slick-sheet-project/high-efficiency-split-cycle-engine-residential-generators,11/24/2015,California,High Efficiency Split-Cycle Engine for Residential Generators,Distributed Generation, ,3589406
159,159,Trophic ,"Trophic will lead a MARINER Category 1 project to design and develop a seaweed cultivation system anticipated to maximize biomass yield while reducing costs. Trophic's system will rely on development of a number of innovations to increase the production of seaweed-based biomass. First, they will implement a variable-row spacing cultivation system to maximize the capital efficiency of the farm. Seaweed is traditionally grown on multiple parallel long culture ropes. Trophic's concept will explore the capability to dynamically vary the distance between each line to maximize the sustainable yield over the entire farm area across all stages of seaweed growth -- the culture ropes are kept closer together when the plants are small, while expanding as the plants grow. This reduces crowding and shading that could lead to slower growth rates. The second innovation is to design a passively tethered hydrofoil powered by solar energy. Higher concentrations of nutrients exist in deeper ocean depths. The hydrofoil, positioned deep below the surface and tethered to a buoy, lifts nutrients from deeper water to fertilize crops at the surface. A third innovation is their wave-diving system. Large waves pose a consistent danger in unprotected offshore environments. The wave-diving system acts as a brake against the upward movement of the culture ropes, capping the maximum structural loads from waves, thus allowing the system to survive much heavier sea states than otherwise possible. The team plans to combine these innovations with computer modeling to develop a system for seaweed farming that, if successful, will produce high yields at a cost of less than $60 per dry metric ton.

",7/15/2019,MARINER,ACTIVE,?q=slick-sheet-project/continuous-high-yield-kelp-production,3/16/2018,California,"Continuous, High-Yield Kelp Production",Transportation Fuels, ,499191
160,160,UHV Technologies ,"UHV Technologies will develop and demonstrate a low cost, field deployable 3D x-ray computed tomography system that will image total root systems in the field with micron-size resolution and can sample hundreds of plants per cycle. This system is based on UHV's low cost linear x-ray tube technology and sophisticated reconstruction and image segmentation algorithms. The linear x-ray tube technology was originally designed for extremely high throughput scrap aluminum sorting, and when used with an array x-ray detector the system can also produce 2D and 3D imaging of plant roots in the field without the use of heavy, moving gantry systems normally used for trait observation. Maize (corn) was chosen as the crop to study due to its robust root system, well-characterized genetic resources, sequenced genome, and access to existing breeding pipelines with commercial potential. The system will be tested in two environments, at the University of Wisconsin with clay-like soil and at Texas A&amp;M University which features sandy soil. Due to its small size, high resolution and fast imaging of fine roots, low power consumption, large penetration depth (i.e. the ability to see through several feet of soil) and ease of use in the field, the proposed system will increase the speed and efficacy of discovery and deployment of improved crops and systems. These advanced crops can improve soil carbon accumulation and storage, decrease nitrogen oxide emissions, and improve water efficiency. If successful, this new level of imaging will be invaluable to scientists seeking to understand how environmental conditions and plant trait variations contribute to carbon deposition through root development.

",7/15/2019,ROOTS,ACTIVE,?q=slick-sheet-project/x-ray-ct-system-roots,6/23/2017,Kentucky,X-Ray CT System for Roots,Transportation Fuels, ,2000000
161,161,UHV Technologies,"UHV Technologies is developing a sorting technology that uses X-rays to distinguish between high-value metal alloys found in scrap of many shapes and sizes. Existing identification technologies rely on manual sorting of light metals, which can be inaccurate and slow. UHV's system will rapidly sort scrap metal passed over a conveyer belt, making it possible to lower metals waste while simultaneously increasing the quality of recycled metal alloys. By analyzing the light emitted from X-rayed metal pieces, UHV's probe is able to identify alloy compositions for automated sorting. By automating this process, UHV would significantly reduce the costs associated with recycling light metal scrap.

",7/15/2019,METALS,ACTIVE,?q=slick-sheet-project/x-ray-diagnostics-scrap-metal-sorting,1/1/2014,Kentucky,X-Ray Diagnostics for Scrap Metal Sorting,Manufacturing Efficiency, ,3521189
162,162,United Technologies Research Center (UTRC),"el-panel panel-col-middle"">
<div class=""inside"">
",10/22/2021,DAYS,ACTIVE,?q=slick-sheet-project/more-information-utrcs-project-coming-soon,1/23/2019,Connecticut,More information on UTRC's project is coming soon!,"></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term:?</div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2019-01-23T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">01/23/2019</span> to <span class=""date-display-end"" content=""2021-10-22T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">10/22/2021</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status:?</div><div class=""field-items""><div class=""field-item even"">ACTIVE</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State:?</div><div class=""field-items""><div class=""field-item even"">Connecticut</div></div></div></div>
</div", ,3000000
163,163,United Technologies Research Center (UTRC) ,"United Technologies Research Center (UTRC) will develop a silicon carbide-based, single stage, 15 kW direct AC-to-AC (fixed frequency AC to variable frequency AC) power converter that avoids the need for an intermediate conversion to DC or energy storage circuit elements. The team seeks to build a device that weighs about half as much as available converters while demonstrating scalability for a broad power range (from kW to tens of MW) and achieving conversion efficiencies greater than 99%. If successful, the UTRC team will produce advances that help greatly reduce energy losses in a range of industrial applications. Industrial drives for electric motors alone account for approximately 40% of total U.S. electricity demand and incorporation of highly efficient variable-frequency drives, based on this technology, can reduce energy consumption by 10-30%. For aircraft power systems, electrical actuators built using this technology can enable longer, thinner, and lighter wings that result in 50% reduced fuel consumption and carbon emissions when compared to current commercial aircraft. The project can also open new possibilities for electric locomotives and ship propulsion, thanks to the reduced weight and complexity of the converter.

",4/5/2021,CIRCUITS,ACTIVE,?q=slick-sheet-project/current-source-matrix-converter,4/6/2018,Connecticut,Current Source Matrix Converter,Electrical Efficiency, ,1899939
164,164,United Technologies Research Center (UTRC) ,"United Technologies Research Center (UTRC) will develop a redox flow battery system that combines next-generation reactants with an inexpensive and highly selective membrane. This SMART-FBS project addresses the two highest cost components in redox flow battery systems: reactants and membranes. The team plans to develop these two components simultaneously using core materials that will work in tandem. Polymer membranes will be developed that include benzimidazole or pyridine structures; ionic conductivity will come from the membrane's structure that allows acid to be imbibed into the polymer. This approach will allow for the use of a low-cost polymer that is durable, selective, and highly conductive. The new reactants will be large organic molecules based upon an extensive theoretical library of potential reactants that has already been established. Multiple membranes and reactants enable a variety of technology options, which should increase the likelihood of success. The project integrates and leverages benefits from each of the team members including: UTRC's state-of-the-art redox flow battery cell performance;  innovations in membranes from the University of South Carolina; TPS polymers and membrane-manufacturing capabilities of Advent Technologies; novel active materials based on Harvard University's large library of organic reactants; and Lawrence Berkley National Laboratory's proficiency in characterizing and modeling transport in ion-exchange membranes. If successful, the team's innovations will enable widespread deployment of redox flow batteries for grid-scale electrical energy storage.

",8/16/2019,IONICS,ACTIVE,?q=slick-sheet-project/smart-fbs,2/17/2017,Connecticut,Smart-FBS,Storage,Transportation Storage,3111792
165,165,United Technologies Research Center (UTRC) ,"United Technologies Research Center (UTRC) and its project team will develop an extremely efficient power converter capable of handling kilowatts of electricity at ultra-high power densities. The team will leverage the superior performance of silicon carbide (SiC) or gallium nitride (GaN) devices to achieve its efficiency and power density goals. In the aerospace industry, electrical power distribution can begin to displace pneumatic power distribution using this technology. Efficient power conversion in aircraft will be needed as hydraulic systems, including landing gear systems, are replaced with electric actuation. Electric engine start, electric air-conditioning and cabin pressurization are also key advances in this area. One of the major objectives of the team is to halve converter loss, facilitating a transition from present liquid cooling thermal management to air cooling only. These improvements can help reduce the weight of airline electrical components, critical for the advancement of more electric aircraft. If successful, the team expects that aerospace is a good first adopter of their technology as the industry can more easily accommodate the costs and adoption of new technology better than other industrial applications.

",4/5/2021,CIRCUITS,ACTIVE,?q=slick-sheet-project/ultra-dense-power-converters,4/6/2018,Connecticut,Ultra-dense Power Converters,Electrical Efficiency, ,1583576
166,166,United Technologies Research Center (UTRC) ,"United Technologies Research Center (UTRC) will develop a low-cost occupancy solution that combines radar sensing technology with an infrared focal plane array (IR-FPA) to determine occupancy in buildings. The solution will also be deployed as a radar-only residential sensor for true human presence sensing. The radar will detect respiration or heartbeat of non-moving occupants by measuring the radar signal reflections caused by chest movement. The system's machine learning algorithms will allow it to distinguish humans from pets in residential settings and to reduce under-counting errors in commercial deployments. The radar will enable through-wall presence sensing in multiple rooms by a single sensor, reducing the sensor hardware and installation cost on a per square foot basis. The solution aims to address the high cost and failure rate of current presence sensors that are preventing large-scale adoption of occupancy based control of HVAC, lighting, and plug loads.

",11/10/2020,SENSOR,ACTIVE,?q=slick-sheet-project/platform-estimate-building-occupancy,5/11/2018,Connecticut,Platform to Estimate Building Occupancy,Building Efficiency, ,1956775
